Amino Acid,Bennu (CI) (Glavin+25),ALHA 77257 (U) (Burton+12),EET 83309 (U) (Burton+12),LEW 85328 (U) (Burton+12),GRA 95205 (U) (Burton+12),LAR 04315 (U) (Burton+12),ALH 84028 (CV3) (Burton+12),EET 96026 (CV3) (Burton+12),LAP 02206 (CV3) (Burton+12),LAR 06317 (CV3) (Burton+12),ALHA 77307 (CO3) (Burton+12),MIL 05013 (CO3) (Burton+12),DOM 08006 (CO3) (Burton+12),MAC 02675 (CBb) (Burton+13),Murchison (CM2) (Glavin+25),Tarda (C2-ung) (Glavin+25),Orgueil (CI1) (Glavin+25),Ryugu (CI) (Glavin+25),EET 92042 (CR2) (Martins+07),GRA 95229 (CR2) (Martins+07),Kebukawa UPLC (SYN) (Kebukawa+17),Enceladus Abiotic (SYN) (Klenner+20),Asuka (CM2.9) (Glavin+20),Paris (CM2.7) (Glavin+20),ALH 85085 (CH3) (Burton+13),PCA 91467 (CH3) (Burton+13),PAT 91546 (CH3) (Burton+13),MIL 05082 (CB) (Burton+13),MIL 07411 (CB) (Burton+13),Ivuna (CI) (Burton+14),GRA 06101 (CV3) (Burton+12),Allende (CV3) (Burton+12),UA 2741 (CM2) (Glavin+21),UA 2746 (CM2) (Glavin+21),Nakhla (Glavin+99),GRO 95577 (CR1) (Martins+07),Logat Diff. (MIX) (Klevenz+10),WA/CC Diff. (MIX) (Klevenz+10),SM2 (CM2) (Burton+14),SM12 (CM2) (Burton+14),SM51 (CM2) (Burton+14),Izena Cauldron (MIX) (Fuchida+14),LB Strom. (MIC) (Ballarini+94),Burmese Amber (EUK) (McCoy+19),Baltic Amber (EUK) (McCoy+19),M. megad. A; OF (EUK) (Saitta+24),M. megad. B (EUK) (Saitta+24),Logat Hot (MIC) (Klevenz+10),TP Hot (MIC) (Klevenz+10),RL Hot (MIC) (Klevenz+10),Bitter Springs Chert (MIC) (Schopf+67),Gunflint Chert (MIC) (Schopf+67),Fig Tree Chert (MIC) (Schopf+67),Enceladus Biotic (SYN) (Klenner+20),V21-16 GDe (EUK) (King+72),V21-16 GA (EUK) (King+72),GDu Recent (EUK) (King+72),Changjiang Est. B6 (MIX) (Wei+22),Changjiang Est. A5-6 (MIX) (Wei+22),Nile Delta (MIX) (Glavin+99),E. Coli (MIC) (Simensen+22),M. thermophila (MIC) (Jiang+24),Geobacillus LC300 (MIC) (Cordova+17),Thermus thermophilus HB8 (MIC) (Cordova+17),Rhodothermus marinus DSM 4252 (MIC) (Cordova+17),Methanococcus maripaludis (MIC) (Wang+24),Synechococcus 7002 (MIC) (Beck+18),A. acidocaldarius (MIC) (Beck+18),Kara Sea Surf. (MIX)
Methionine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0.0,0.0,,0,37.12310601,0,,,,0.33,1.2,,,0,0,0.048989795,0.098149546,0.3,0.028,0.016,0.042,,,,,,0.24,,,0,0.0105,0.0075,0.01,0.23,,,0.07412972446584916
Lysine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0.0,0.0,,0,89.94398257,0.75055535,,,,0.15,3.94,,,0,0,0.228619043,0.704367328,1.3,0.045,0.0064,0.001,,,,,,,,0.002,0.026,0.029,0.0245,0.0225,0.98,0.1,1.1,0.072267080086285
Arginine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0.0,0.0,,0,119.076782,0.542709253,,,,0.11,2.19,0.04,0.14,0.25,0.705,0.073484692,0.96417495,0.7,0.028,0.0272,0.023,,,,,1.3,0.31,,0.006,0.015,,,,0.53,0.6,1.9,0.06439593480766544
Histidine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0.0,0.0,,0,418.6072145,0.484974226,,,,0.02,2.3,18.06,27.5,0,0.35,0.212289111,0.167431578,2.1,0.035,0.0352,0.033,,,,,0.12,0.05,,0.003,0.006,,,,0.07,9.8,1.8,0.047820555784678566
Tyrosine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0.0,0.0,,0,38.89087297,0.375277675,,,,0,2.4,1.14,3.46,1.6,0.35,0.114309521,0.334863156,1.5,0.042,0.0136,0.029,,,,,,0.06,,0.003,0.003,0.0125,0.0165,0.015,0.17,10.6,1.1,0.15947710660425277
Proline,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,,,,,,,,0,,0,0,0,,,0.494,3.45,3.54,4.17,35.4,,,,,0.018,0.0185,0.0275,0.0265,1.81,5.3,0.8,
Cit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,
Orn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,0.019972975569163946
allo-Ile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,0,,,,0,1.68,1.38,,,,,,,,,,,,,
Glutamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.88046533,0.288675135,,,,,,,,,,0.244948974,0.242487113,0.2,,,,,,,,,,,,0.013,,,,,,,
Asparagine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.42747827,0.190525589,,,,,,,,,,0.081649658,0.132790562,0.6,,,,,,,,,,,,0.017,,,,,,,
Cya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,
Cysteine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,1.12,,,
Tryptophan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
