model,replicate,trajectory,variable,final_mean,final_window_std
classic,13,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,13,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,13,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,13,B,regolith_fraction,0.6733454977467876,3.3306690738754696e-16
classic,13,B,carbon_memory,0.4148440985881329,8.326672684688674e-16
classic,13,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,14,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,14,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,14,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,14,A,regolith_fraction,0.9491352404420194,1.1102230246251565e-15
classic,14,A,carbon_memory,0.32110823052958465,4.996003610813204e-16
classic,14,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,14,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,14,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,14,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,14,B,regolith_fraction,0.9491352404420194,1.1102230246251565e-15
classic,14,B,carbon_memory,0.32110823052958465,4.996003610813204e-16
classic,14,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,15,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,15,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,15,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,15,A,regolith_fraction,0.9986831565418121,1.3322676295501878e-15
classic,15,A,carbon_memory,0.31837814949973703,6.106226635438361e-16
classic,15,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,15,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,15,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,15,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,15,B,regolith_fraction,0.9986831565418121,1.3322676295501878e-15
classic,15,B,carbon_memory,0.31837814949973703,6.106226635438361e-16
classic,15,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,16,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,16,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,16,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,16,A,regolith_fraction,0.9521572984240511,7.771561172376096e-16
classic,16,A,carbon_memory,0.2932739497406019,2.7755575615628914e-16
classic,16,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,16,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,16,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,16,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,16,B,regolith_fraction,0.9521572984240511,7.771561172376096e-16
classic,16,B,carbon_memory,0.2932739497406019,2.7755575615628914e-16
classic,16,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,17,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,17,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,17,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,17,A,regolith_fraction,0.7192659072229839,6.661338147750939e-16
classic,17,A,carbon_memory,0.22993857607191376,3.608224830031759e-16
classic,17,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,17,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,17,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,17,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,17,B,regolith_fraction,0.7192659072229839,6.661338147750939e-16
classic,17,B,carbon_memory,0.22993857607191376,3.608224830031759e-16
classic,17,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,18,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,18,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,18,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,18,A,regolith_fraction,0.7208366155619639,5.551115123125783e-16
classic,18,A,carbon_memory,0.5183898112253561,3.3306690738754696e-16
classic,18,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,18,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,18,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,18,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,18,B,regolith_fraction,0.7208366155619639,5.551115123125783e-16
classic,18,B,carbon_memory,0.5183898112253561,3.3306690738754696e-16
classic,18,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,19,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,19,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,19,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,19,A,regolith_fraction,0.8328800429034967,7.771561172376096e-16
classic,19,A,carbon_memory,0.3168768370996162,4.440892098500626e-16
classic,19,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,19,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,19,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,19,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,19,B,regolith_fraction,0.8328800429034967,7.771561172376096e-16
classic,19,B,carbon_memory,0.3168768370996162,4.440892098500626e-16
classic,19,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,20,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,20,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,20,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,20,A,regolith_fraction,0.9071279892785963,1.1102230246251565e-16
classic,20,A,carbon_memory,0.5836869849127609,4.440892098500626e-16
classic,20,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,20,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,20,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,20,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,20,B,regolith_fraction,0.9071279892785963,1.1102230246251565e-16
classic,20,B,carbon_memory,0.5836869849127609,4.440892098500626e-16
classic,20,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,21,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,21,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,21,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,21,A,regolith_fraction,0.7896255076067102,3.3306690738754696e-16
classic,21,A,carbon_memory,0.48362483949304597,7.216449660063518e-16
classic,21,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,21,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,21,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,21,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,21,B,regolith_fraction,0.7896255076067102,3.3306690738754696e-16
classic,21,B,carbon_memory,0.48362483949304597,7.216449660063518e-16
classic,21,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,22,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,22,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,22,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,22,A,regolith_fraction,0.908853456373777,6.661338147750939e-16
classic,22,A,carbon_memory,0.29754163943942374,3.885780586188048e-16
classic,22,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,22,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,22,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,22,B,co2_ppm,377.375702566002,1.7364165411617034e-06
