time_myr,obliquity_A_deg,eccentricity_A,obliquity_B_deg,eccentricity_B
-5.260000000000101,70.0,0.3,10.0,0.01
-5.2400000000001015,70.0,0.3,10.0,0.01
-5.220000000000102,70.0,0.3,10.0,0.01
-5.200000000000102,70.0,0.3,10.0,0.01
-5.180000000000103,70.0,0.3,10.0,0.01
-5.160000000000103,70.0,0.3,10.0,0.01
-5.140000000000104,70.0,0.3,10.0,0.01
-5.120000000000104,70.0,0.3,10.0,0.01
-5.1000000000001044,70.0,0.3,10.0,0.01
-5.080000000000105,70.0,0.3,10.0,0.01
-5.060000000000105,70.0,0.3,10.0,0.01
-5.040000000000106,70.0,0.3,10.0,0.01
-5.020000000000106,70.0,0.3,10.0,0.01
-5.000000000000107,70.0,0.3,10.0,0.01
-4.980000000000107,70.0,0.3,10.0,0.01
-4.960000000000107,70.0,0.3,10.0,0.01
-4.940000000000108,70.0,0.3,10.0,0.01
-4.920000000000108,70.0,0.3,10.0,0.01
-4.900000000000109,70.0,0.3,10.0,0.01
-4.880000000000109,70.0,0.3,10.0,0.01
-4.86000000000011,70.0,0.3,10.0,0.01
-4.84000000000011,70.0,0.3,10.0,0.01
-4.82000000000011,70.0,0.3,10.0,0.01
-4.800000000000111,70.0,0.3,10.0,0.01
-4.780000000000111,70.0,0.3,10.0,0.01
-4.760000000000112,70.0,0.3,10.0,0.01
-4.740000000000112,70.0,0.3,10.0,0.01
-4.7200000000001125,70.0,0.3,10.0,0.01
-4.700000000000113,70.0,0.3,10.0,0.01
-4.680000000000113,70.0,0.3,10.0,0.01
-4.660000000000114,70.0,0.3,10.0,0.01
-4.640000000000114,70.0,0.3,10.0,0.01
-4.620000000000115,70.0,0.3,10.0,0.01
-4.600000000000115,70.0,0.3,10.0,0.01
-4.5800000000001155,70.0,0.3,10.0,0.01
-4.560000000000116,70.0,0.3,10.0,0.01
-4.540000000000116,70.0,0.3,10.0,0.01
-4.520000000000117,70.0,0.3,10.0,0.01
-4.500000000000117,70.0,0.3,10.0,0.01
-4.480000000000118,70.0,0.3,10.0,0.01
-4.460000000000118,70.0,0.3,10.0,0.01
-4.4400000000001185,70.0,0.3,10.0,0.01
-4.420000000000119,70.0,0.3,10.0,0.01
-4.400000000000119,70.0,0.3,10.0,0.01
-4.38000000000012,70.0,0.3,10.0,0.01
-4.36000000000012,70.0,0.3,10.0,0.01
-4.340000000000121,70.0,0.3,10.0,0.01
-4.320000000000121,70.0,0.3,10.0,0.01
-4.3000000000001215,70.0,0.3,10.0,0.01
-4.280000000000122,70.0,0.3,10.0,0.01
-4.260000000000122,70.0,0.3,10.0,0.01
-4.240000000000123,70.0,0.3,10.0,0.01
-4.220000000000123,70.0,0.3,10.0,0.01
-4.200000000000124,70.0,0.3,10.0,0.01
-4.180000000000124,70.0,0.3,10.0,0.01
-4.1600000000001245,70.0,0.3,10.0,0.01
-4.140000000000125,70.0,0.3,10.0,0.01
-4.120000000000125,70.0,0.3,10.0,0.01
-4.100000000000126,70.0,0.3,10.0,0.01
-4.080000000000126,70.0,0.3,10.0,0.01
-4.060000000000127,70.0,0.3,10.0,0.01
-4.040000000000127,70.0,0.3,10.0,0.01
-4.0200000000001275,70.0,0.3,10.0,0.01
-4.000000000000128,70.0,0.3,10.0,0.01
-3.9800000000001283,70.0,0.3,10.0,0.01
-3.9600000000001288,70.0,0.3,10.0,0.01
-3.940000000000129,70.0,0.3,10.0,0.01
-3.9200000000001296,70.0,0.3,10.0,0.01
-3.90000000000013,70.0,0.3,10.0,0.01
-3.8800000000001305,70.0,0.3,10.0,0.01
-3.860000000000131,70.0,0.3,10.0,0.01
-3.8400000000001313,70.0,0.3,10.0,0.01
-3.8200000000001317,70.0,0.3,10.0,0.01
-3.800000000000132,70.0,0.3,10.0,0.01
-3.7800000000001326,70.0,0.3,10.0,0.01
-3.760000000000133,70.0,0.3,10.0,0.01
-3.7400000000001334,70.0,0.3,10.0,0.01
-3.720000000000134,70.0,0.3,10.0,0.01
-3.7000000000001343,70.0,0.3,10.0,0.01
