age_ka_bp,temp_anomaly_C,sea_level_m,ice_volume_eurasia_sle,ice_volume_na_sle,ice_volume_total_sle,insolation_65N_jul_Wm2,eccentricity,obliquity_deg,precession,isotope_total
78.0,-11.083,-41.637,-18.802,-17.632,-36.434,452.26,0.027731,22.916,-0.00777,0.8095
79.0,-10.981,-39.21,-18.121,-16.133,-34.254,458.38,0.028281,23.043,-0.015,0.7479
80.0,-10.49,-37.7,-17.628,-15.286,-32.914,463.07,0.028836,23.175,-0.02135,0.6765
81.0,-9.3603,-36.906,-17.368,-14.767,-32.135,465.99,0.029395,23.31,-0.0263,0.6149
82.0,-7.6679,-37.333,-17.413,-14.967,-32.38,466.91,0.029958,23.444,-0.02942,0.5894
83.0,-6.6459,-39.427,-17.945,-16.131,-34.076,465.81,0.030526,23.576,-0.03042,0.6135
84.0,-6.5216,-42.207,-18.77,-17.698,-36.468,462.8,0.031097,23.703,-0.02915,0.6739
85.0,-7.0566,-44.967,-19.578,-19.372,-38.95,458.15,0.031671,23.822,-0.02563,0.76
86.0,-8.1054,-46.339,-19.979,-20.294,-40.272999999999996,452.28,0.032247,23.932,-0.02004,0.842
87.0,-9.8583,-46.315,-20.091,-20.256,-40.347,445.69,0.032825,24.03,-0.01275,0.8847
88.0,-11.459,-45.552,-20.042,-19.718,-39.760000000000005,438.95,0.033403,24.115,-0.00425,0.8828
89.0,-11.936,-44.098,-19.841,-18.697,-38.538,432.63,0.03398,24.184,0.00488,0.8499
90.0,-11.13,-42.675,-19.576,-17.676,-37.251999999999995,427.28,0.034556,24.236,0.01395,0.8207
91.0,-10.634,-41.329,-19.296,-16.794,-36.09,423.36,0.035128,24.27,0.02229,0.7867
92.0,-10.637,-39.433,-18.691,-15.842,-34.533,421.23,0.035697,24.285,0.02923,0.7297
93.0,-10.274,-36.926,-17.788,-14.564,-32.352000000000004,421.14,0.03626,24.281,0.0342,0.6564
94.0,-8.6901,-35.249,-17.232,-13.54,-30.772,423.16,0.036816,24.256,0.03674,0.6
95.0,-7.5378,-34.748,-17.105,-13.163,-30.268,427.23,0.037363,24.212,0.03655,0.5744
96.0,-7.1654,-34.708,-17.226,-12.974,-30.2,433.1,0.0379,24.147,0.03356,0.5773
97.0,-6.5614,-34.898,-17.513,-12.813,-30.326,440.36,0.038424,24.065,0.02789,0.5942
98.0,-7.0004,-35.636,-18.183,-12.729,-30.912,448.47,0.038936,23.964,0.01986,0.6057
99.0,-7.9759,-36.52,-19.079,-12.632,-31.711,456.74,0.039432,23.849,0.01003,0.6104
100.0,-7.4751,-37.308,-19.983,-12.354,-32.337,464.41,0.039911,23.719,-0.00088,0.614
101.0,-7.0017,-39.246,-21.488,-12.519,-34.007,470.73,0.040372,23.579,-0.01204,0.6333
102.0,-7.6773,-41.086,-22.823,-12.784,-35.607,474.98,0.040812,23.432,-0.02254,0.6541
103.0,-7.6655,-42.135,-23.34,-13.193,-36.533,476.59,0.04123,23.28,-0.03149,0.6544
104.0,-7.5042,-44.502,-24.357,-14.11,-38.467,475.23,0.041624,23.127,-0.03807,0.6729
105.0,-7.594,-47.753,-25.708,-15.482,-41.19,470.81,0.041993,22.978,-0.04164,0.7103
106.0,-7.3037,-52.406,-26.904,-18.31,-45.214,463.53,0.042335,22.836,-0.0418,0.766
107.0,-7.7283,-57.202,-27.759,-21.763,-49.522000000000006,453.91,0.042649,22.706,-0.03841,0.8288
108.0,-8.7168,-58.879,-27.146,-24.075,-51.221000000000004,442.67,0.042933,22.591,-0.03168,0.8509
109.0,-8.7159,-57.922,-25.42,-25.207,-50.627,430.73,0.043185,22.494,-0.0221,0.8524
110.0,-8.7678,-54.318,-22.598,-25.159,-47.757,419.06,0.043406,22.42,-0.01047,0.8407
111.0,-8.9229,-48.212,-18.913,-23.704,-42.617000000000004,408.61,0.043592,22.37,0.00221,0.806
112.0,-9.3404,-40.7,-15.146,-21.002,-36.147999999999996,400.23,0.043744,22.346,0.01481,0.7492
