lineage_id,cycle,mic,lag_time,growth_rate,survival,persister_fraction,fitness
W_AMK25p0_N0p25_P08,3,,,,0.517,,
W_AMK25p0_N0p25_P09,3,,,,0.162,,
W_AMK25p0_N0p25_P10,3,,,,0.714,,
W_AMK25p0_N0p25_P11,3,,,,1.11,,
W_AMK25p0_N0p25_P12,3,,,,1.03,,
W_AMK25p0_N0p25_P13,3,,,,1.46,,
W_AMK25p0_N0p25_P14,3,,,,0.909,,
W_AMK25p0_N0p25_P15,3,,,,0.48,,
W_AMK25p0_N0p25_P16,3,,,,0.0185,,
W_AMK25p0_N0p25_P17,3,,,,0.9,,
W_AMK25p0_N0p25_P18,3,,,,0.219,,
W_AMK25p0_N0p25_P19,3,,,,0.286,,
W_AMK25p0_N0p25_P20,3,,,,0.206,,
W_AMK25p0_N0p25_P21,3,,,,0.367,,
W_AMK25p0_N0p25_P22,3,,,,0.273,,
W_AMK25p0_N0p25_P08,5,,,,0.571,,
W_AMK25p0_N0p25_P09,5,,,,0.625,,
W_AMK25p0_N0p25_P10,5,,,,0.935,,
W_AMK25p0_N0p25_P11,5,,,,0.828,,
W_AMK25p0_N0p25_P12,5,,,,0.654,,
W_AMK25p0_N0p25_P13,5,,,,0.571,,
W_AMK25p0_N0p25_P14,5,,,,0.3,,
W_AMK25p0_N0p25_P15,5,,,,0.364,,
W_AMK25p0_N0p25_P16,5,,,,0.35,,
W_AMK25p0_N0p25_P17,5,,,,0.87,,
W_AMK25p0_N0p25_P18,5,,,,0.923,,
W_AMK25p0_N0p25_P19,5,,,,0.905,,
W_AMK25p0_N0p25_P20,5,,,,0.455,,
W_AMK25p0_N0p25_P21,5,,,,0.667,,
W_AMK25p0_N0p25_P22,5,,,,0.167,,
W_AMK25p0_N0p25_P01,7,,,,0.793,,
W_AMK25p0_N0p25_P02,7,,,,0.917,,
W_AMK25p0_N0p25_P03,7,,,,0.879,,
W_AMK25p0_N0p25_P04,7,,,,1.0,,
W_AMK25p0_N0p25_P05,7,,,,0.744,,
W_AMK25p0_N0p25_P06,7,,,,1.0,,
W_AMK25p0_N0p25_P07,7,,,,0.813,,
W_AMK25p0_N0p25_P08,7,,,,0.568,,
W_AMK25p0_N0p25_P09,7,,,,0.818,,
W_AMK25p0_N0p25_P10,7,,,,0.00167,,
W_AMK25p0_N0p25_P11,7,,,,1.21,,
W_AMK25p0_N0p25_P12,7,,,,1.03,,
W_AMK25p0_N0p25_P13,7,,,,0.719,,
W_AMK25p0_N0p25_P14,7,,,,0.525,,
W_AMK25p0_N0p25_P15,7,,,,0.628,,
W_AMK25p0_N0p25_P16,7,,,,0.677,,
W_AMK25p0_N0p25_P17,7,,,,0.759,,
W_AMK25p0_N0p25_P18,7,,,,0.813,,
W_AMK25p0_N0p25_P19,7,,,,0.833,,
W_AMK25p0_N0p25_P21,7,,,,0.87,,
W_AMK25p0_N0p25_P01,9,,,,0.889,,
W_AMK25p0_N0p25_P02,9,,,,1.0,,
W_AMK25p0_N0p25_P03,9,,,,0.8,,
W_AMK25p0_N0p25_P04,9,,,,0.688,,
W_AMK25p0_N0p25_P05,9,,,,0.88,,
W_AMK25p0_N0p25_P06,9,,,,0.467,,
W_AMK25p0_N0p25_P07,9,,,,0.625,,
W_AMK25p0_N0p25_P08,9,,,,0.731,,
W_AMK25p0_N0p25_P09,9,,,,0.688,,
W_AMK25p0_N0p25_P10,9,,,,0.005,,
W_AMK25p0_N0p25_P11,9,,,,0.931,,
W_AMK25p0_N0p25_P12,9,,,,0.867,,
W_AMK25p0_N0p25_P13,9,,,,0.64,,
W_AMK25p0_N0p25_P14,9,,,,0.528,,
W_AMK25p0_N0p25_P15,9,,,,0.964,,
W_AMK25p0_N0p25_P16,9,,,,0.15,,
W_AMK25p0_N0p25_P17,9,,,,0.92,,
W_AMK25p0_N0p25_P18,9,,,,0.903,,
W_AMK25p0_N0p25_P19,9,,,,0.688,,
W_AMK25p0_N0p25_P20,9,,,,0.214,,
W_AMK25p0_N0p25_P21,9,,,,0.375,,
W_AMK25p0_N0p25_P22,9,,,,1.5,,
W_AMK25p0_N0p25_P01,11,,,,0.606,,
W_AMK25p0_N0p25_P02,11,,,,0.7,,
W_AMK25p0_N0p25_P03,11,,,,0.618,,
W_AMK25p0_N0p25_P04,11,,,,0.448,,
