test_id,wp,technical_outcome,scientific_verdict,criterion_id,metric,threshold,message,duration_s
B3-010,B3,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",5.330999556463212e-06
R1-001,R1,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",3.131000994471833e-06
R1-002,R1,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",1.7550009943079203e-06
R1-003,R1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",5.267000233288854e-06
R1-004,R1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",3.4769982448779047e-06
R1-005,R1,pass,undetermined,,10.0,,Plan antibiotique réel et couverture des mesures audités,0.03230238700052723
R1-006,R1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",1.263199737877585e-05
R1-007,R1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",5.842997779836878e-06
R1-008,R1,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",3.894998371833935e-06
R1-009,R1,pass,undetermined,,10.0,,Plan antibiotique réel et couverture des mesures audités,6.55919975542929e-05
R1-010,R1,pass,undetermined,,10.0,,Plan antibiotique réel et couverture des mesures audités,2.332199801458046e-05
R2-001,R2,pass,undetermined,,1.0,,Histoires d'exposition validées,0.0025660760002210736
R2-002,R2,pass,undetermined,,1.0,,Histoires d'exposition validées,9.20000093174167e-06
R2-003,R2,pass,undetermined,,1.0,,Histoires d'exposition validées,5.473000783240423e-06
R2-004,R2,pass,undetermined,,1.0,,Histoires d'exposition validées,4.4240005081519485e-06
R2-005,R2,pass,undetermined,,1.0,,Histoires d'exposition validées,4.1959974623750895e-06
R2-006,R2,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",4.569999873638153e-06
R2-007,R2,pass,undetermined,,1.0,,Histoires d'exposition validées,4.6770001063123345e-06
R2-008,R2,pass,undetermined,,1.0,,Histoires d'exposition validées,3.430999640841037e-06
R2-009,R2,pass,undetermined,,1.0,,Histoires d'exposition validées,3.0660012271255255e-06
R2-010,R2,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",2.092001523124054e-06
R2-011,R2,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",2.79700179817155e-06
R2-012,R2,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",1.3270000636111945e-06
R2-013,R2,pass,undetermined,,1.0,,Histoires d'exposition validées,3.8040016079321504e-06
R2-014,R2,pass,undetermined,,1.0,,Histoires d'exposition validées,3.393000952200964e-06
R2-015,R2,pass,undetermined,,1.0,,Histoires d'exposition validées,4.287001502234489e-06
R3-001,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,0.012236668000696227
R3-002,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,1.0146999557036906e-05
R3-003,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,4.257999535184354e-06
R3-004,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,3.7150020943954587e-06
R3-005,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,3.860001015709713e-06
R3-006,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,3.441000444581732e-06
R3-007,R3,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",5.57600287720561e-06
R3-008,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,3.975001163780689e-06
R3-009,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,3.5140001273248345e-06
R3-010,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,3.410998033359647e-06
R3-011,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,3.977998858317733e-06
R3-012,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,3.818997356574982e-06
R3-013,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,5.579000571742654e-06
R3-014,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,3.7199970392975956e-06
R3-015,R3,pass,undetermined,,1.0,,Mesures antibiotiques analysées,3.5039993235841393e-06
R4-001,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,0.028239991999726044
R4-002,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,1.1436000932008028e-05
R4-003,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,4.943001840729266e-06
R4-004,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,4.546000127447769e-06
R4-005,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,3.7429999792948365e-06
R4-006,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,4.1429993871133775e-06
R4-007,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,3.6240016925148666e-06
R4-008,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,4.11600194638595e-06
R4-009,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,3.520999598549679e-06
R4-010,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,3.3370015444234014e-06
R4-011,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,4.175999492872506e-06
R4-012,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,3.7520003388635814e-06
R4-013,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,3.3139986044261605e-06
R4-014,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,3.4849981602746993e-06
R4-015,R4,pass,undetermined,,,,Dépendance au chemin antibiotique testée,3.5340017348062247e-06
R5-001,R5,pass,undetermined,,,,Modèles concurrents comparés,0.011061249999329448
R5-002,R5,pass,undetermined,,,,Modèles concurrents comparés,1.1284999345662072e-05
R5-003,R5,pass,undetermined,,,,Modèles concurrents comparés,4.950001311954111e-06
R5-004,R5,pass,undetermined,,,,Modèles concurrents comparés,3.853001544484869e-06
R5-005,R5,pass,undetermined,,,,Modèles concurrents comparés,3.7700010580010712e-06
R5-006,R5,pass,undetermined,,,,Modèles concurrents comparés,3.6519995774142444e-06
R5-007,R5,pass,undetermined,,,,Modèles concurrents comparés,3.6869969335384667e-06
R5-008,R5,pass,undetermined,,,,Modèles concurrents comparés,3.4559998312033713e-06
R6-001,R6,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",4.961999366059899e-06
R6-002,R6,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",1.7700003809295595e-06
R6-003,R6,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",1.3969984138384461e-06
R6-004,R6,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",1.6169979062397033e-06
R6-005,R6,pass,undetermined,,329.0,,Structure de réplication contrôlée,0.002704087000893196
R6-006,R6,pass,undetermined,,329.0,,Structure de réplication contrôlée,9.485996997682378e-06
R6-007,R6,pass,undetermined,,329.0,,Structure de réplication contrôlée,4.482000804273412e-06
R6-008,R6,pass,undetermined,,329.0,,Structure de réplication contrôlée,4.388999514048919e-06
T1-001,T1,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,0.8357638060006138
T1-002,T1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",4.417699892655946e-05
T1-003,T1,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,1.2325999705353752e-05
T1-004,T1,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,7.740996807115152e-06
T1-005,T1,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",5.717000021832064e-06
T1-006,T1,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,6.598998879780993e-06
T1-007,T1,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,7.539001671830192e-06
T1-008,T1,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,5.799000064143911e-06
T1-009,T1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",6.586000381503254e-06
T1-010,T1,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,5.6159988162107766e-06
T1-011,T1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",4.9959999159909785e-06
T1-012,T1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",5.5060008889995515e-06
T1-013,T1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",5.404999683378264e-06
T1-014,T1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",5.0529997679404914e-06
T1-015,T1,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,4.907000402454287e-06
T1-016,T1,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,4.805999196833e-06
T2-001,T2,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,0.8715373230006662
T2-002,T2,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,2.733599831117317e-05
