/* DATA DESCRIPTION:
Citation:	Lambert, Fabrice; Delmonte, Barbara; Petit, Jean Robert; Bigler, Matthias; Kaufmann, Patrik R; Hutterli, Manuel A; Stocker, Thomas F; Ruth, Urs; Steffensen, Jørgen Peder; Maggi, Valter (2008): Fine particle percentage measured with a laser particle counter of ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.695987, 
283.178	-0.7696
284.271	0.2241
285.361	0.1408
286.413	0.5841
287.444	0.4367
288.426	0.2692
289.762	0.5661
291.018	-0.1956
292.485	0.0739
293.711	0.2998
295.018	0.4977
296.249	0.1479
297.480	0.2015
298.790	0.2909
300.035	0.1160
301.227	-0.0685
302.542	-0.2723
303.763	-0.0658
304.906	-1.7928
306.014	0.2385
307.269	0.3691
308.588	0.4315
309.873	0.3137
311.133	0.4512
312.356	0.4363
313.523	0.4759
314.616	0.7509
315.679	-0.0728
316.666	-0.3494
317.777	0.3486
319.006	-1.8953
320.254	-0.9700
321.396	-0.7525
322.458	-0.9932
323.437	-0.8727
324.648	-2.0331
325.802	-1.3504
326.887	-1.0131
327.949	-0.6872
329.001	-0.8213
330.083	-0.0041
331.179	0.2031
332.442	-0.6679
333.485	-1.0770
334.528	-1.8310
335.514	-0.9853
336.762	-0.7402
337.864	-0.1363
339.190	-0.3511
340.220	0.6912
341.454	0.5829
342.761	0.4456
344.041	0.5912
345.317	0.4065
346.557	0.1262
347.769	0.5582
348.969	0.6411
350.106	0.7970
351.300	0.6658
352.494	0.5849
353.670	0.3590
354.935	0.1643
356.268	0.0715
357.598	-0.8431
358.947	0.0999
360.248	0.1382
361.534	0.0368
362.766	0.3079
363.958	0.0467
365.224	-0.2194
366.456	-0.9820
367.688	-0.1514
368.963	0.4606
370.184	0.2924
371.345	0.1899
372.472	-1.0606
373.551	-3.5317
374.825	-2.4635
376.132	-0.8698
377.364	-0.0377
378.588	0.1594
379.748	0.1392
380.846	-0.9481
381.912	-2.3008
383.036	0.1503
384.256	0.2250
385.389	0.2052
386.469	0.0814
387.537	-0.5271
388.788	0.1115
390.135	-0.2115
391.345	-0.5200
392.515	-1.6030
393.580	-1.4341
395.057	-1.6523
396.413	-1.7940
397.677	-1.7682
398.935	-0.8924
400.143	-0.8949
401.276	-0.9200
402.380	-1.3993
403.444	-0.3828
404.529	-0.5373
405.617	-1.0986
406.690	-1.2981
407.746	-1.1549
408.849	-1.1555
409.980	-1.0830
411.194	-1.0076
412.507	-1.6096
413.902	-1.7652
415.384	-1.5678
416.874	-1.0118
417.860	-0.9299
418.889	-2.7850
419.929	-1.2917
421.013	-0.6568
422.171	-0.3371
423.359	0.2209
