parameter,fixed_value,training_rmse,excess_over_best,relative_excess,prediction_rmse
forcing_offset,0.6666666666666661,0.8545985381524737,5.3382287168446396e-05,6.24686557545247e-05,2.0415792451844266
forcing_offset,1.333333333333333,0.8545958955582413,5.073969293611924e-05,5.937625716775687e-05,2.0413444803485836
forcing_offset,2.0,0.854580817157085,3.566129177978716e-05,4.173131347714076e-05,2.041736623456295
forcing_offset,2.666666666666666,0.8545984164068123,5.3260541507116343e-05,6.232618737764088e-05,2.041517302074512
forcing_offset,3.333333333333333,0.8752605347608038,0.02071537889549857,0.02424140930799889,1.7787986212997051
forcing_offset,4.0,0.8752622151592879,0.02071705929398271,0.024243375732444224,1.7787139423330132
tau_fast_kyr,1.0,0.8545451961529013,4.028759603702525e-08,4.714507567037856e-08,2.042116000677106
tau_fast_kyr,1.5550791539731852,0.8545457294046184,5.735393131534039e-07,6.71163260615108e-07,2.042034047278131
tau_fast_kyr,2.418271175121957,0.8545466118500609,1.4559847556494532e-06,1.7038125436158319e-06,2.042114614459371
tau_fast_kyr,3.760603093086394,0.8729107810030547,0.01836562513774953,0.02149169650274672,1.7781007571161893
tau_fast_kyr,5.848035476425733,0.8545500379757496,4.882110444359711e-06,5.713109963646247e-06,2.042045229613516
tau_fast_kyr,9.094158061085302,0.854553431105353,8.275240047761478e-06,9.683794929926248e-06,2.042027891462498
tau_fast_kyr,14.142135623730951,0.882850675149884,0.028305519284578806,0.033123491591169195,1.7798835308509338
tau_fast_kyr,21.992140301125577,0.8545681194978767,2.296363257148215e-05,2.687234538030863e-05,2.041895814766049
tau_fast_kyr,34.19951893353395,0.8545851554286872,3.9999563381964975e-05,4.6808016062605554e-05,2.0417673294669174
tau_fast_kyr,53.18295896944989,0.9080977742835386,0.05355261841823333,0.0626679796271344,1.769597690936829
tau_fast_kyr,82.70371084000278,0.9150836620079955,0.060538506142690296,0.07084295748115209,1.7646540443273653
tau_fast_kyr,128.6108166835145,0.9233067648982421,0.06876160903293693,0.08046574082244899,1.759452850645106
tau_fast_kyr,200.0,0.9356229727385055,0.08107781687320026,0.09487832950278859,1.8279176323501078
tau_memory_gain_kyr,0.01,0.8814773467412202,0.02693219087591503,0.031516404593790855,1.7827949399376284
tau_memory_gain_kyr,0.027653652404912625,0.8814643222805217,0.026919166415216522,0.03150116319828459,1.7828141045182764
tau_memory_gain_kyr,0.07647244913317297,0.8814279483979747,0.026882792532669453,0.03145859800170321,1.7827883997266094
tau_memory_gain_kyr,0.21147425268811282,0.8545974313927176,5.227552741238206e-05,6.11735109064521e-05,2.041481700782179
tau_memory_gain_kyr,0.5848035476425731,0.8810260977297574,0.026480941864452157,0.030988347055385012,1.7828256051829994
tau_memory_gain_kyr,1.6171954031667477,0.8545988651071843,5.370924187908521e-05,6.28512624645326e-05,2.041565948518888
tau_memory_gain_kyr,4.47213595499958,0.8545912969424169,4.614107711164994e-05,5.399489634333937e-05,2.041644588265229
tau_memory_gain_kyr,12.367089320707027,0.8545797975091992,3.46416438939956e-05,4.053810808735761e-05,2.041783160672377
tau_memory_gain_kyr,34.19951893353393,0.8815031632270883,0.02695800736178311,0.0315466153856851,1.7828222590217602
tau_memory_gain_kyr,94.5741609003176,0.8546177198004408,7.256393513555004e-05,8.491527292325753e-05,2.041647099712784
tau_memory_gain_kyr,261.53209720236595,0.8816245625819364,0.027079406716631227,0.031688678510161175,1.7829711287276513
tau_memory_gain_kyr,723.2317708762047,0.8547533734129023,0.00020821754759703381,0.00024365891745790132,2.042222488428992
tau_memory_gain_kyr,2000.0,0.8695284561608638,0.01498330029555861,0.017533655410388052,2.049325307518106
regolith_scale,0.001,0.878417261720639,0.023872105855333836,0.027935452786179735,1.7810925214548237
regolith_scale,0.002463660347943517,0.872033786156583,0.017488630291277785,0.020465425579025073,1.7805246919134263
regolith_scale,0.006069622310029172,0.8728190417265316,0.018273885861226358,0.021384341992697127,1.792406385510813
regolith_scale,0.014953487812212205,0.8752744451508744,0.020729289285569164,0.02425768742972846,1.7789148370154035
regolith_scale,0.03684031498640387,0.8765141718853746,0.0219690160200694,0.02570843198780263,1.7781989079861649
regolith_scale,0.09076202323775251,0.8795212406803345,0.02497608481502933,0.029227343509704597,1.778845435140881
regolith_scale,0.22360679774997896,0.8813645197333317,0.026819363868026525,0.031384372942667334,1.7815727102261747
regolith_scale,0.5508912011472489,0.8545985943329982,5.343846769301219e-05,6.253439894454829e-05,2.041556882046863
regolith_scale,1.3572088082974532,0.8814848489116838,0.026939693046378554,0.03152518373250814,1.7827989340490777
regolith_scale,3.3437015248821096,0.8814847978734451,0.02693964200813992,0.031525124006888866,1.7828093010216992
regolith_scale,8.237744862210327,0.8814847452045216,0.026939589339216363,0.03152506237302061,1.782805718019357
regolith_scale,20.295005373503017,0.8814847423912916,0.02693958652598638,0.03152505908094182,1.7827885076932817
regolith_scale,50.0,0.8545985420738759,5.338620857064935e-05,6.247324463104694e-05,2.041587776124023
tau_regolith_kyr,20.0,0.8719058454238101,0.017360689558504894,0.020315707647918974,1.7852359763734995
tau_regolith_kyr,36.23312815492117,0.8545985304389122,5.337457360699016e-05,6.245962924328266e-05,2.041538710340952
tau_regolith_kyr,65.64197879454706,0.8814847903130081,0.026939634447702865,0.03152511515956581,1.7828085159136773
