final_obliquity_deg,final_eccentricity,attractor_ice_mean,attractor_temperature_mean,attractor_spread_temperature_k,delta10_temperature_k,delta50_temperature_k,delta200_temperature_k,attractor_spread_ice_fraction,delta10_ice_fraction,delta50_ice_fraction,delta200_ice_fraction,attractor_spread_co2_ppm,delta10_co2_ppm,delta50_co2_ppm,delta200_co2_ppm,attractor_spread_productivity,delta10_productivity,delta50_productivity,delta200_productivity
40.0,0.0,0.2715254679283003,-1.1442936296682413,2.3998096465094587,0.0734813115018057,0.0278529604641633,0.002235919939617359,0.8690300617995355,0.02611234720932882,0.01022107616680171,0.0008108336735440699,172.8375333761728,3.7167291453295235,1.575941563371373,0.12076617874245699,0.5801370508347977,0.015708949757727853,0.005891007057461595,0.0004704362386173111
40.0,0.02,0.004401785413253368,-0.39900897417135517,6.663616181890042e-05,0.02729794916512676,0.010072144581864811,0.0006730443762133498,2.4141500785674307e-05,0.01005475014815304,0.003698550026076824,0.00024407654463562325,0.003568258284019521,1.5585882534299884,0.5672892640774023,0.0361755923478313,1.3860473186078082e-05,0.005713451401445302,0.0020992421699562724,0.0001400123687954613
40.0,0.05,0.0011241142496888719,-0.35165537920826695,1.1702680401570742e-05,0.005588000155156758,0.002403060634611237,0.00014638683849660383,4.228535170172935e-06,0.0024669157732521807,0.0008809953594881724,5.2943259387753204e-05,0.0006162597962031668,0.5339746254600612,0.13348872430482572,0.007735677625916537,2.381240602589152e-06,0.0011292384934112332,0.0004889956325178635,2.9786552322719206e-05
40.0,0.1,8.384084135164143e-05,-0.21073040624266046,8.116296996429906e-07,0.0007521354814255948,0.00017036583830024044,1.0291466394155013e-05,2.899817464458674e-07,0.00017667008868486463,6.281621495203031e-05,3.6801044175382674e-06,4.023229303129483e-05,0.19480043078702636,0.00947270272686751,0.0005118254491520702,1.5369651196195377e-07,0.0001524471776355174,3.221740835607223e-05,1.9487973362264377e-06
40.0,0.18,3.687245879879972e-07,0.22107370629726147,3.689321459443562e-09,0.0014834510081451202,4.182197199512072e-06,4.552236212984617e-08,1.2667384094991205e-09,7.391797690970378e-07,2.6560236449267295e-07,1.5640535274378147e-08,1.4851019614070538e-07,0.19449354988431367,0.00067785366991302,1.8377528618884753e-06,5.245635037454122e-10,0.00022223949600475024,6.326307439019629e-07,6.4722607828748835e-09
40.0,0.3,1.3882595213400466e-12,1.494366134245393,5.306866057708248e-14,0.005786173714885101,3.876808976011059e-05,6.938893903907228e-14,4.769167566402199e-15,2.60401815955195e-12,9.574008723131304e-13,5.686819538552258e-14,5.5706550483591855e-12,0.7037593914885036,0.004706558417282736,3.427658157306723e-11,4.440892098500626e-16,2.2972993770076222e-06,2.7025043314310437e-09,2.7755575615628914e-15
50.0,0.0,0.00023602135467919394,-0.39445519874762747,2.2787792598455425e-06,0.00010622784786318284,0.0004761861376111898,2.8616084387589336e-05,8.264191255425357e-07,0.0004937812108984599,0.00017629297264279588,1.0387372706397084e-05,0.0001223031070480829,0.27938365569902146,0.027513865254803704,0.0015410485311235789,4.7313573514617957e-07,3.390486504517565e-05,9.87965221913023e-05,5.941278824528329e-06
50.0,0.02,9.435908821961874e-05,-0.386825270664725,9.011667225777842e-07,0.0007924945503141878,0.0001863264797059283,1.1280686054354616e-05,3.2663679198937485e-07,0.0001949474396921864,6.961208665890192e-05,4.09249939059649e-06,4.821817594802269e-05,0.21509159944810108,0.011091239275700104,0.0006056160533489674,1.8644836508041607e-07,0.0001747290320788797,3.85038763210388e-05,2.3338512303849868e-06
50.0,0.05,2.0418438297960385e-05,-0.3485242957562758,1.9442645604605957e-07,0.001001723848202296,3.775891941748544e-05,2.412634929060964e-06,7.026039484590141e-08,4.147391280396101e-05,1.4834220078746426e-05,8.726312170355288e-07,1.0236306991373567e-05,0.16154210025358395,0.0026231290878939717,0.00012744207276682573,3.950482185821613e-08,0.00021256114689155448,7.645130024658275e-06,4.901956802139118e-07
50.0,0.1,9.97930627590153e-07,-0.210493008466784,9.596041655735021e-09,0.0008688622714352889,3.6750233467497395e-07,1.1717135253719313e-07,3.4285243809085633e-09,1.9759774484982686e-06,7.096954066340204e-07,4.1898159645747495e-08,4.756614657708269e-07,0.12018811972829724,0.0004202844244360904,5.826518062690411e-06,1.8169524773625767e-09,0.00017153326765989574,8.848708493713886e-08,2.2184786618861807e-08
