tau_carbon_memory_myr,tau_regolith_recovery_myr,regolith_erosion_rate,bedrock_ice_gain,delta10_temperature_k,delta200_temperature_k,ablated10_temperature_k,delta10_ice_fraction,delta200_ice_fraction,ablated10_ice_fraction,delta10_co2_ppm,delta200_co2_ppm,ablated10_co2_ppm,delta10_productivity,delta200_productivity,ablated10_productivity
1.6475489724420658,164.75489724420657,0.03,0.5,0.0006548632641532048,5.478644320433546e-07,7.862927198232228e-09,0.00022526152833834967,1.9322334710025757e-07,2.773858920335215e-11,0.05425160804705342,5.0022324813880914e-05,1.695833191206475e-06,0.00012035928999670764,1.010691983716061e-07,1.1308683156574517e-09
1.6475489724420658,271.4417616594907,0.03,0.5,0.0007178807670484844,9.308383595030278e-07,7.862927198232228e-09,0.0002475586001279839,3.2795073756641813e-07,2.773858920335215e-11,0.060057146439930875,8.461621536071107e-05,1.695833191206475e-06,0.00013198449092133302,1.7167262975070763e-07,1.1308683156574517e-09
1.6475489724420658,447.213595499958,0.03,0.5,0.0007564431683633188,1.2771230180064208e-06,7.862927198232228e-09,0.00026118997742680117,4.4967070406132237e-07,2.773858920335215e-11,0.0635950706484607,0.0001157862635920992,1.695833191206475e-06,0.000139095996491978,2.3549760622132432e-07,1.1308683156574517e-09
1.6475489724420658,736.8062997280774,0.03,0.5,0.0007798151638154227,1.5440174019332176e-06,7.862927198232228e-09,0.0002694472311157714,5.434372645773955e-07,2.773858920335215e-11,0.06573418177987378,0.00013975825868328684,1.695833191206475e-06,0.00014340527985803875,2.846828460745243e-07,1.1308683156574517e-09
1.6475489724420658,1213.9244620058346,0.03,0.5,0.0007939506890035641,1.7310330844289012e-06,7.862927198232228e-09,0.0002744396915354552,6.091201253388689e-07,2.773858920335215e-11,0.0670260956328832,0.0001565334553674802,1.695833191206475e-06,0.0001460112337623165,3.1914441189773157e-07,1.1308683156574517e-09
1.6475489724420658,2000.0,0.03,0.5,0.0008025027458951062,1.8548142237673204e-06,7.862927198232228e-09,0.00027745959107478013,6.52585805727135e-07,2.773858920335215e-11,0.06780705142142551,0.00016762758261279487,1.695833191206475e-06,0.00014758772628545302,3.4195244708046246e-07,1.1308683156574517e-09
2.7144176165949068,5.0,0.03,0.5,0.0014922236133998457,0.0,7.862927198232228e-09,3.530790915196036e-08,0.0,2.773858920335215e-11,0.3890874342950781,0.0,1.695833191206475e-06,0.0002287434779499331,0.0,1.1308683156574517e-09
2.7144176165949068,8.237744862210329,0.03,0.5,0.0014504427912636064,0.0,7.862927198232228e-09,1.2476455664545139e-05,0.0,2.773858920335215e-11,0.39075132484433084,0.0,1.695833191206475e-06,0.00022118884914251735,0.0,1.1308683156574517e-09
2.7144176165949068,13.572088082974531,0.03,0.5,0.0014085836606541058,1.580957587066223e-13,7.862927198232228e-09,1.628578528267699e-05,5.828670879282072e-14,2.773858920335215e-11,0.38364051501565655,1.8189894035458565e-11,1.695833191206475e-06,0.00021440675323428082,2.936539900133539e-14,1.1308683156574517e-09
2.7144176165949068,22.360679774997894,0.03,0.5,0.0014278794134714445,1.4576340134908605e-11,7.862927198232228e-09,1.3606968401302932e-05,5.3198556670963626e-12,2.773858920335215e-11,0.3587810331594028,1.5198509117908543e-09,1.695833191206475e-06,0.000219998873989935,2.7080004905144506e-12,1.1308683156574517e-09
2.7144176165949068,36.84031498640386,0.03,0.5,0.0015144003216980284,3.3505556107371604e-09,7.862927198232228e-09,7.479618523364984e-05,1.2064846344195246e-09,2.773858920335215e-11,0.3202322675328162,3.3194569937222695e-07,1.695833191206475e-06,0.00023866516878251476,6.207526159762722e-10,1.1308683156574517e-09
2.7144176165949068,60.696223100291725,0.03,0.5,0.0016159582747170553,4.812033926882009e-08,7.862927198232228e-09,0.0001406838283220524,1.7197277712988068e-08,2.773858920335215e-11,0.28095959432570794,4.628952183338697e-06,1.695833191206475e-06,0.00026004301654830586,8.900766734765142e-09,1.1308683156574517e-09
2.7144176165949068,100.0,0.03,0.5,0.0016945442742211103,2.2185380754713435e-07,7.862927198232228e-09,0.00019266328645739517,7.894169889999247e-08,2.773858920335215e-11,0.2496007349869842,2.097411919521619e-05,1.695833191206475e-06,0.0002766652163668226,4.099622782915979e-08,1.1308683156574517e-09
