%age(kyr)	%d18O(permille)	%d18O(sigma)
67.71000527	3.882021	0.176076
67.79618016	3.875637	0.175699
67.88235506	3.869063	0.175251
67.96496241	3.862471	0.17475
68.0364851	3.855708	0.174276
68.10800779	3.848448	0.173798
68.17953048	3.840691	0.173286
68.25091771	3.833035	0.172727
68.3202229	3.825454	0.172161
68.38952808	3.818082	0.171599
68.45883327	3.810821	0.171022
68.52813845	3.803756	0.170496
68.60553427	3.796616	0.17002
68.68570128	3.789514	0.169492
68.76586829	3.782428	0.168965
68.84585927	3.775755	0.16837
68.91381984	3.769533	0.167915
68.98225832	3.763486	0.167421
69.05069679	3.757434	0.16674
69.11913526	3.751496	0.165988
69.19460686	3.745805	0.165308
69.27573219	3.740275	0.164628
69.35685753	3.734859	0.163921
69.43798286	3.729506	0.163126
69.52769199	3.72419	0.162312
69.61964713	3.718882	0.161466
69.71160226	3.713712	0.160614
69.80525799	3.708654	0.159799
69.90080173	3.703779	0.158984
69.99634548	3.699199	0.158181
70.08675494	3.694682	0.157284
70.16394988	3.690161	0.156466
70.24114481	3.685911	0.15563
70.31833974	3.68165	0.15476
70.39716389	3.677396	0.153969
70.47934828	3.673516	0.153276
70.56153268	3.669799	0.152725
70.64371708	3.665855	0.152181
70.71482469	3.661906	0.151592
70.77894673	3.657915	0.151036
70.84306877	3.653698	0.15055
70.90719081	3.649607	0.150186
70.97131285	3.64542	0.149829
71.05442625	3.641412	0.14945
71.13758659	3.637677	0.14907
71.21958525	3.634053	0.14871
71.29390558	3.630543	0.148429
71.35192968	3.627036	0.148123
71.40995377	3.62353	0.147722
71.46797787	3.620442	0.147358
71.52600197	3.617679	0.147028
71.58354859	3.615248	0.14669
71.6401102	3.613032	0.146409
71.6966718	3.610942	0.146109
71.7532334	3.609173	0.145903
71.80979501	3.607432	0.145756
71.8683302	3.605627	0.145703
71.93458727	3.604189	0.145557
72.00084435	3.602939	0.145364
72.06710142	3.601686	0.145283
72.1333585	3.600217	0.145246
72.2163342	3.59862	0.145231
72.30272736	3.59734	0.145228
72.38912052	3.596116	0.14529
72.47275687	3.594892	0.14545
72.55336217	3.593843	0.145596
72.63396747	3.593357	0.145525
72.71457277	3.593052	0.145476
72.77477118	3.592678	0.145315
72.83222635	3.592413	0.145183
72.88968151	3.59277	0.144952
72.94713667	3.593436	0.144731
73.00459183	3.593767	0.144417
73.06894159	3.594284	0.143988
73.13462167	3.595037	0.143572
73.20304041	3.596158	0.143084
73.27550887	3.597184	0.142745
73.3361869	3.598174	0.142313
73.38101481	3.598983	0.141855
73.42584271	3.599601	0.141421
73.47067062	3.599888	0.141085
73.51549853	3.600164	0.140882
73.56032643	3.600477	0.140685
73.60515434	3.600677	0.140508
73.65697699	3.600532	0.140434
73.72554406	3.600213	0.140407
73.79411113	3.599744	0.140308
73.8626782	3.599324	0.140136
73.93124527	3.599214	0.139907
73.99930219	3.599262	0.139791
74.06706198	3.599349	0.139694
74.13482176	3.599103	0.139572
74.20258155	3.598832	0.139488
74.27034134	3.598315	0.139301
74.33397289	3.597334	0.139093
74.39721437	3.59625	0.138866
74.46045586	3.594926	0.138782
74.52369734	3.593371	0.13878
74.58693882	3.591366	0.138808
74.64326698	3.588812	0.138948
74.69845383	3.585784	0.139131
74.75364068	3.58282	0.139384
74.80882752	3.579763	0.139585
74.86401437	3.576896	0.139771
74.92030905	3.574401	0.140094
74.99251336	3.571519	0.140309
75.06471767	3.568489	0.140566
75.13692198	3.565422	0.140871
75.20912629	3.562244	0.141062
75.27234653	3.559069	0.141294
75.330453	3.555899	0.141694
75.38855946	3.552209	0.142089
75.44666592	3.548098	0.142346
75.5037672	3.543849	0.142551
75.56150896	3.539349	0.142525
75.63777587	3.535074	0.142571
75.71404278	3.530778	0.142701
75.79030969	3.526274	0.142725
75.86533641	3.52163	0.142738
75.93464865	3.516891	0.142763
76.00396089	3.511839	0.142543
76.07327313	3.506975	0.142415
76.14258537	3.502267	0.142279
76.19858514	3.497702	0.142075
76.25175094	3.493267	0.141973
76.30491673	3.488822	0.14173
76.35808253	3.484218	0.141458
76.41124832	3.479733	0.141205
76.47403047	3.475456	0.140857
76.59200527	3.471338	0.14055
76.70998006	3.467123	0.140288
76.81604826	3.462785	0.140173
76.91385682	3.458362	0.140131
77.01166539	3.453768	0.140071
77.11591977	3.448947	0.140208
77.22649072	3.444245	0.140485
77.33706166	3.439534	0.140765
77.41390335	3.434807	0.141005
77.48099895	3.430033	0.141189
77.54809455	3.4251	0.141342
77.61519015	3.420273	0.141415
77.6855085	3.41592	0.141523
77.76672688	3.411556	0.141645
77.84794526	3.407453	0.141677
77.92916365	3.403496	0.141636
78.01378804	3.399358	0.141668
78.11616354	3.395109	0.141756
78.21853904	3.391122	0.14178
78.32091454	3.387165	0.141711
78.42281712	3.38355	0.141655
78.52466404	3.379961	0.141659
78.62651095	3.376551	0.141788
78.71365962	3.37328	0.141858
78.79146765	3.370108	0.141833
78.86927568	3.367238	0.141866
78.9470837	3.364626	0.141959
79.02481719	3.361977	0.142132
79.10238768	3.359297	0.1423
79.17995817	3.356637	0.142431
79.25752866	3.354228	0.142588
79.33515505	3.352364	0.142795
79.43108075	3.350892	0.143155
79.52700646	3.349834	0.143522
79.62293216	3.349247	0.143812
79.7275734	3.349178	0.144152
79.84035281	3.349591	0.14463
79.95313222	3.350533	0.145152
80.06144396	3.352118	0.145772
80.15913577	3.353917	0.146477
80.25427749	3.356149	0.147325
80.34375672	3.359111	0.148249
80.42308127	3.362818	0.14931
80.50240581	3.367025	0.150392
80.58173036	3.37182	0.151578
80.65094227	3.377523	0.152938
80.71107551	3.384214	0.154425
80.77120875	3.392343	0.15566
80.83134199	3.401011	0.156685
80.89147523	3.410033	0.157517
