test_id,wp,technical_outcome,scientific_verdict,criterion_id,metric,threshold,message,duration_s
V6-006,V6,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.3819999367115088e-06
V6-007,V6,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.2719997357635293e-06
V6-008,V6,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.3719995877181645e-06
V6-009,V6,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.482000243413495e-06
V6-010,V6,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",7.610001375724096e-07
B1-001,B1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.4139999368344434e-06
B1-002,B1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.8240001483936794e-06
B1-003,B1,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",8.819997674436308e-07
B1-004,B1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.6920002963161096e-06
B1-005,B1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.8229998204333242e-06
B1-006,B1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.663000148255378e-06
B1-007,B1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.451999651180813e-06
B1-008,B1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.482000243413495e-06
B1-009,B1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.7429997569706757e-06
B1-010,B1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.4920001376594882e-06
B2-001,B2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.7640003281703684e-06
B2-002,B2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.511999926151475e-06
B2-003,B2,pass,undetermined,,0.8172043010752689,,Réduction génomique des endosymbiotes analysée,0.003051037999739492
B2-004,B2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,5.558000339078717e-06
B2-005,B2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.7940000109083485e-06
B2-006,B2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.7820002540247515e-06
B2-007,B2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.8330001694266684e-06
B2-008,B2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.6029998732847162e-06
B2-009,B2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.4920001376594882e-06
B2-010,B2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.6230001165240537e-06
B2-011,B2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.6620001588307787e-06
B2-012,B2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.4119996194494888e-06
B3-001,B3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.313000095455209e-06
B3-002,B3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.261999841517536e-06
B3-003,B3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.6029998732847162e-06
B3-004,B3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.663000148255378e-06
B3-005,B3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.2919999790028669e-06
B3-006,B3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.6620001588307787e-06
B3-007,B3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.722999968478689e-06
B3-008,B3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.5020000319054816e-06
B3-009,B3,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",1.2119999155402184e-06
B3-010,B3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.421999968442833e-06
R1-001,R1,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",8.210004125430714e-07
R1-002,R1,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",8.520000847056508e-07
R1-003,R1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,3.2340003599529155e-06
R1-004,R1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.1129999367985874e-06
R1-005,R1,pass,undetermined,,10.0,,Plan antibiotique réel et couverture des mesures audités,0.003583326999887504
R1-006,R1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,5.767999937233981e-06
R1-007,R1,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.9739999263256323e-06
R1-008,R1,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",1.2720001905108802e-06
R1-009,R1,pass,undetermined,,10.0,,Plan antibiotique réel et couverture des mesures audités,2.8000999918731395e-05
R1-010,R1,pass,undetermined,,10.0,,Plan antibiotique réel et couverture des mesures audités,1.3449999642034527e-05
R2-001,R2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,3.2250000003841706e-06
R2-002,R2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.823000275180675e-06
R2-003,R2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.5020000319054816e-06
R2-004,R2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.4529996406054124e-06
R2-005,R2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.3419999049801845e-06
R2-006,R2,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",1.0420003491162788e-06
R2-007,R2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.4419997569348197e-06
R2-008,R2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.5020000319054816e-06
R2-009,R2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.6529997992620338e-06
R2-010,R2,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",8.209999577957205e-07
R2-011,R2,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",8.619999789516442e-07
R2-012,R2,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",7.109997568477411e-07
