phase,temperature,pressure,gibbs_energy,composition,state,modele_thermodynamique,modele_pression,reference,temperature_max_source
acanthite,900.0,1000.0,-164426.12,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,900.0,5000.0,-150745.597,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,900.0,10000.0,-133644.943,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,900.0,20000.0,-99443.634,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,900.0,30000.0,-65242.326,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,900.0,50000.0,3160.291,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,1000.0,1.0,-194586.754,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,1000.0,1000.0,-191170.043,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,1000.0,5000.0,-177489.519,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,1000.0,10000.0,-160388.865,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,1000.0,20000.0,-126187.557,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,1000.0,30000.0,-91986.248,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,1000.0,50000.0,-23583.632,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
alabandite,298.15,1.0,-218312.752,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,298.15,1000.0,-216168.816,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,298.15,5000.0,-207584.488,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,298.15,10000.0,-196854.077,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,298.15,20000.0,-175393.256,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,298.15,30000.0,-153932.435,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,298.15,50000.0,-111010.793,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,400.0,1.0,-227282.425,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,400.0,1000.0,-225138.489,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,400.0,5000.0,-216554.161,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,400.0,10000.0,-205823.75,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,400.0,20000.0,-184362.929,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,400.0,30000.0,-162902.108,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,400.0,50000.0,-119980.466,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,500.0,1.0,-237383.692,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,500.0,1000.0,-235239.756,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,500.0,5000.0,-226655.427,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,500.0,10000.0,-215925.017,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,500.0,20000.0,-194464.196,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,500.0,30000.0,-173003.375,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,500.0,50000.0,-130081.733,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,600.0,1.0,-248520.686,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,600.0,1000.0,-246376.749,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,600.0,5000.0,-237792.421,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,600.0,10000.0,-227062.011,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,600.0,20000.0,-205601.19,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,600.0,30000.0,-184140.369,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,600.0,50000.0,-141218.727,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,700.0,1.0,-260531.673,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,700.0,1000.0,-258387.737,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,700.0,5000.0,-249803.409,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,700.0,10000.0,-239072.998,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,700.0,20000.0,-217612.177,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,700.0,30000.0,-196151.356,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,700.0,50000.0,-153229.714,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,800.0,1.0,-273301.704,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,800.0,1000.0,-271157.768,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,800.0,5000.0,-262573.44,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,800.0,10000.0,-251843.029,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,800.0,20000.0,-230382.208,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,800.0,30000.0,-208921.387,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,800.0,50000.0,-165999.745,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,900.0,1.0,-286744.829,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,900.0,1000.0,-284600.893,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,900.0,5000.0,-276016.565,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,900.0,10000.0,-265286.155,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,900.0,20000.0,-243825.334,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,900.0,30000.0,-222364.513,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,900.0,50000.0,-179442.87,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1000.0,1.0,-300794.336,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1000.0,1000.0,-298650.4,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1000.0,5000.0,-290066.072,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1000.0,10000.0,-279335.661,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1000.0,20000.0,-257874.84,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1000.0,30000.0,-236414.019,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1000.0,50000.0,-193492.377,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1200.0,1.0,-330509.047,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1200.0,1000.0,-328365.111,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1200.0,5000.0,-319780.783,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1200.0,10000.0,-309050.372,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1200.0,20000.0,-287589.551,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1200.0,30000.0,-266128.73,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
