PGD ID,PGD Type,PGD Subtype,Type,Grain Label,Reference,Data Published,Source,Technique,Size a (µm),Size b (µm),12C/13C,err+[12C/13C],err-[12C/13C],14N/15N,err+[14N/15N],err-[14N/15N],26Al/27Al,err[26Al/27Al],d(29Si/28Si),err[d(29Si/28Si)],d(30Si/28Si),err[d(30Si/28Si)],44Ti/48Ti,err[44Ti/48Ti]
SiC-2018-NGU-000652,M,,M,MUR52B-103-3,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,58.96463,1.579422,1.499115,,,,,,54.08168,12.5043518223846,69.40734,12.4145206579645,,
SiC-2018-NGU-000653,X,X1,X,MUR52B-103-4,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,150.8255,6.771698,6.213745,,,,,,-166.6679,17.7760637366279,-296.4024,10.4991508452989,,
SiC-2018-NGU-000654,M,,M,MUR52B-103-5,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,66.83469,0.9788666,0.9510193,,,,,,31.32486,7.88566379443353,40.23218,12.0913481465534,,
SiC-2018-NGU-000655,M,,M,MUR52B-103-6,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,52.49266,2.566097,2.337555,,,,,,13.42702,45.906027029307,42.4422,32.9979618775696,,
SiC-2018-NGU-000656,M,,M,MUR52B-103-7,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,29.95291,0.9214401,0.8680344,,,,,,4.727244,21.2749724459436,63.4507,25.5882730712731,,
SiC-2018-NGU-000657,M,,M,MUR52B-104-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,40.40547,0.7156372,0.6911583,,,,,,23.53239,16.6495796449988,22.58503,11.6320789969696,,
SiC-2018-NGU-000658,AB,,AB,MUR52B-104-2,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,6.31062,0.08615875,0.08386898,,,,,,-0.1057982,18.741939678949,44.33405,13.2371210463279,,
SiC-2018-NGU-000659,M,,M,MUR52B-104-3,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,59.45983,1.73526,1.639561,,,,,,62.53004,11.6944124244535,36.54456,14.5637447676203,,
SiC-2018-NGU-000660,M,,M,MUR52B-104-4,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,84.36752,1.851311,1.773476,,,,,,34.67214,9.48086186960402,38.02872,19.1152120902245,,
SiC-2018-NGU-000661,M,,M,MUR52B-104-7,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,69.26125,9.440536,7.418274,,,,,,-14.49746,38.5876591975025,69.90218,48.7288114349037,,
SiC-2018-NGU-000662,M,,M,MUR52B-105-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,51.18057,1.278214,1.2174,,,,,,48.3886,31.0226666229802,45.1827,20.2295823077747,,
SiC-2018-NGU-000663,M,,M,MUR52B-105-2,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,52.03624,2.051895,1.901897,,,,,,80.24788,12.4362568661892,89.70928,16.1615005889664,,
SiC-2018-NGU-000664,AB,,M,MUR52B-105-8,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,10.19336,0.4881382,0.4454727,,,,,,55.22931,37.4405781931914,84.00977,21.8931432402572,,
SiC-2018-NGU-000665,M,,M,MUR52B-106-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,67.62862,0.876503,0.8543472,,,,,,71.94746,7.24528065215824,55.64487,13.183546419168,,
