group,lab_id,sample_name,sample_note,epsilon46Ti,epsilon46Ti_2sigma,epsilon48Ti,epsilon48Ti_2sigma,epsilon50Ti,epsilon50Ti_2sigma,Ti_reference,epsilon53Cr,epsilon53Cr_2sigma,epsilon54Cr,epsilon54Cr_2sigma,Cr_reference,epsilon94Mo,epsilon94Mo_2sigma,epsilon95Mo,epsilon95Mo_2sigma,Mo_reference
Angrites,DI25,NWA 4931,,-0.20168269730946875,0.08610234233056155,-0.041990216365084265,0.036906076761544344,-1.2968543452100563,0.07545823371616965,this study,0.17,0.05,-0.51,0.08,Zhu+19 (APJL),0.75,0.11,0.39,0.06,-6
Aubrites,DI11,Peña Blanca Spring,,-0.1168707283027981,0.04969659129741963,0.0259453014540371,0.04726839916626407,-0.05460495461121325,0.09221337700668744,this study,1.16,0.05,,,"Shukolyukov and Lugmair, 2004",0.58,0.22,0.16,0.15,-19
Aubrites,DI21,Peña Blanca Spring,,-0.12311768315479119,0.12320773126622639,0.03543455035548426,0.02699018749901171,-0.08757215109390547,0.07809642837175801,this study,1.16,0.05,,,"Shukolyukov and Lugmair, 2004",0.58,0.22,0.16,0.15,-19
Eucrites,DI23,NWA 11050,,-0.27161897078104014,0.05375542864981278,0.04607462836990021,0.024481059655191484,-1.2230484213642085,0.11327655690654202,this study,,,,,,,,,,
Diogenites,DI24,NWA 11049,,-0.2179736512657056,0.06659389433559618,0.029240817408111977,0.04724433574979195,-1.2542128984377454,0.09673782985880702,this study,,,,,,,,,,
Mesosiderites,DI07,Acfer 063,,-0.23647063672369942,0.09833089590397358,-0.03772363192186293,0.0786539196771191,-1.2408926968750695,0.10303848236155803,this study,0.34,0.03,-0.55,0.11,this study,1.05,0.12,0.46,0.07,-17
Mesosiderites,DI08,Ilafegh 002,,-0.28911928471744086,0.09626743525856901,-0.026696259160611618,0.054893162045013225,-1.1917457864025154,0.06256674986003638,this study,,,,,,1.01,0.16,0.45,0.12,-15
Mesosiderites,DI09,NWA 2538,,-0.33341937564213,0.049799651791863346,-0.07089601448149387,0.020944578537846523,-1.3445317997450401,0.06564645059208912,this study,,,,,,1.04,0.17,0.49,0.12,-13
OC 1 L,NWA L1,NWA 2458,L3.2,-0.4002435446901748,0.05190072894985382,0.058460159389206456,0.04418216855446014,-2.443821997805455,0.0967983469657125,this study,,,,,,5.3,0.22,3.25,0.15,9.120000000000017
OC 1 L,NWA L2,NWA 2458,L3.2,-0.1838548972805534,0.07041956914817177,-0.015363838676914673,0.03194703040123063,-1.395335035923348,0.09478157052687101,this study,,,,,,3.18,0.08,1.87,0.09,-2.527999999999997
OC 1 L,NWA L3,NWA 2458,L3.2,-0.07131063087883173,0.06038517423222065,-0.017916618104130144,0.04367584995414448,-0.4121441590507416,0.07204225147900105,this study,,,,,,1.7,0.22,1,0.15,-1.3199999999999878
OC 1 L,NWA L4,NWA 2458,L3.2,-0.2196371623773503,0.06860656535205334,0.050735134763280065,0.03046707812753443,-0.6761919635676845,0.05656906056710163,this study,,,,,,-2.57,0.28,-1.82,0.15,-28.82800000000003
OC 1 L,NWA L5,NWA 2458,L3.2,-0.1507741355877279,0.08023122886619946,-0.04416012323792348,0.030059547560659726,1.3138458554739467,0.06600102048468115,this study,,,,,,-1.36,0.24,-0.89,0.14,-7.9439999999999955
OC 1 L,NWA L6,NWA 2458,L3.2,-0.1515517139483822,0.07156830575598996,-0.05560366844608717,0.04866515110721868,-0.4046074008047436,0.0715953477590971,this study,,,,,,-20.53,0.22,-12.22,0.15,1.5879999999999228
OC 1 L,Total / Wtd. Av.,NWA 2458,L3.2,-0.21,,0.04,,-0.67,,this study,,,,,,0.44,,0.2,,-6
OC 2 L,WSG L1,WSG 95300,H3.3,-0.4608612603506347,0.061887008435430366,0.008142844669162881,0.08201941934175055,-3.2358357249034913,0.044799779606163145,this study,,,,,,-0.76,0.22,-0.4,0.15,5.295999999999995
OC 2 L,WSG L2,WSG 95300,H3.3,-0.25002024914741067,0.05780255358582993,-0.0780797961071182,0.029134747141487508,-1.535640692321779,0.0842044118336411,this study,,,,,,0.83,0.13,0.52,0.04,2.5320000000000062
OC 2 L,WSG L3,WSG 95300,H3.3,0.08614804329754687,0.07133759918978458,-0.04283964936159512,0.03227208823811072,1.6623442272767937,0.09318995537898718,this study,,,,,,-3.3,0.24,-2.1,0.15,-13.320000000000022
OC 2 L,WSG L4,WSG 95300,H3.3,-0.21389452294628963,0.10912024186678676,0.01961104884521762,0.03730057900288903,-0.5634451915030129,0.06568792889260264,this study,,,,,,-0.1,0.14,-0.17,0.12,-11.040000000000001
OC 2 L,WSG L5,WSG 95300,H3.3,-0.0338719530619073,0.05227408751018785,-0.037754557790092846,0.037819455218079286,0.6698055020658823,0.05523847908925283,this study,,,,,,3.13,0.11,1.89,0.1,2.4520000000000097
OC 2 L,WSG L6,WSG 95300,H3.3,-0.14585227358506672,0.05307592000051465,-0.01333822056631067,0.03890358785762509,-0.24752312610471378,0.081945215467122,this study,,,,,,6.4,0.22,4.32,0.15,50.56000000000003
OC 2 L,Total / Wtd. Av.,WSG 95300,H3.3,-0.19,,-0.01,,-0.56,,this study,,,,,,1.19,,0.69,,-1
OC 2 L,Average bulk OC,,,-0.13,0.02,-0.01,0.03,-0.59,0.04,Rüfenacht+23 (GCA),,,,,,0.66,0.12,0.26,0.06,-13
CM,EW23,Moapa Valley,,0.4768826482475547,0.0863588668964437,0.024191570779189913,0.04863408888537907,2.9352720576300166,0.07741664852759018,this study,,,,,,,,,,
CL,DI29,NWA 13400,,0.5320396504030859,0.08343037501201918,-0.054898277932924344,0.043836127614105345,2.72897723149775,0.1068958657992793,this study,0.14,0.13,0.7,0.13,Metzler+ 21 (GCA),1.14,0.1,0.99,0.06,31
Ungrouped chondrites,UCC9,DaG 430,CL3?,0.47969191638571235,0.05868533624632981,-0.01100760142677041,0.03797542744576016,2.227721304796907,0.12232714651366912,this study,0.04,0.02,0.75,0.04,Zhu+23 (GCA),,,,,
Ungrouped chondrites,"""CJA""",DaG 055,CL3?,,,,,2.84,0.17,this study,,,,,,,,,,
Ungrouped achondrites,DI28,NWA 6926,,0.4081781899654506,0.09134598505326262,-0.09089373369602916,0.05463980097556906,1.9233112917549366,0.13147806163466827,this study,0.26,0.05,1.44,0.11,this study,1.48,0.12,1.14,0.07,26
Bulk Allende,MS-A I,Allende (MS-A),,0.70460944396081,0.0583202512684696,-0.061967132158983564,0.037216724068784374,3.2064370516743375,0.11004980581184093,this study,,,,,,,,,,
