source_file,condition,generation,well,well_index,time_seconds,temperature_c,turbidity_A400
FR_inc.xlsx,FR,gen0,A9,9,1213.0,22.1,0.397
FR_inc.xlsx,FR,gen0,A10,10,1213.0,22.1,0.456
FR_inc.xlsx,FR,gen0,A11,11,1213.0,22.1,0.57
FR_inc.xlsx,FR,gen0,A12,12,1213.0,22.1,0.33
FR_inc.xlsx,FR,gen0,B1,13,1213.0,22.1,0.566
FR_inc.xlsx,FR,gen0,B2,14,1213.0,22.1,0.418
FR_inc.xlsx,FR,gen0,B3,15,1213.0,22.1,0.553
FR_inc.xlsx,FR,gen0,B4,16,1213.0,22.1,0.411
FR_inc.xlsx,FR,gen0,B5,17,1213.0,22.1,0.537
FR_inc.xlsx,FR,gen0,B6,18,1213.0,22.1,0.532
FR_inc.xlsx,FR,gen0,B7,19,1213.0,22.1,0.451
FR_inc.xlsx,FR,gen0,B8,20,1213.0,22.1,0.502
FR_inc.xlsx,FR,gen0,B9,21,1213.0,22.1,0.445
FR_inc.xlsx,FR,gen0,B10,22,1213.0,22.1,0.613
FR_inc.xlsx,FR,gen0,B11,23,1213.0,22.1,0.559
FR_inc.xlsx,FR,gen0,B12,24,1213.0,22.1,0.427
FR_inc.xlsx,FR,gen0,C1,25,1213.0,22.1,0.43
FR_inc.xlsx,FR,gen0,C2,26,1213.0,22.1,0.345
FR_inc.xlsx,FR,gen0,C3,27,1213.0,22.1,0.422
FR_inc.xlsx,FR,gen0,C4,28,1213.0,22.1,0.428
FR_inc.xlsx,FR,gen0,C5,29,1213.0,22.1,0.52
FR_inc.xlsx,FR,gen0,C6,30,1213.0,22.1,0.699
FR_inc.xlsx,FR,gen0,C7,31,1213.0,22.1,0.461
FR_inc.xlsx,FR,gen0,C8,32,1213.0,22.1,0.394
FR_inc.xlsx,FR,gen0,C9,33,1213.0,22.1,0.445
FR_inc.xlsx,FR,gen0,C10,34,1213.0,22.1,0.591
FR_inc.xlsx,FR,gen0,C11,35,1213.0,22.1,0.449
FR_inc.xlsx,FR,gen0,C12,36,1213.0,22.1,0.566
FR_inc.xlsx,FR,gen0,D1,37,1213.0,22.1,0.519
FR_inc.xlsx,FR,gen0,D2,38,1213.0,22.1,0.504
FR_inc.xlsx,FR,gen0,D3,39,1213.0,22.1,0.485
FR_inc.xlsx,FR,gen0,D4,40,1213.0,22.1,0.604
FR_inc.xlsx,FR,gen0,D5,41,1213.0,22.1,0.526
FR_inc.xlsx,FR,gen0,D6,42,1213.0,22.1,0.626
FR_inc.xlsx,FR,gen0,D7,43,1213.0,22.1,0.406
FR_inc.xlsx,FR,gen0,D8,44,1213.0,22.1,0.451
FR_inc.xlsx,FR,gen0,D9,45,1213.0,22.1,0.539
FR_inc.xlsx,FR,gen0,D10,46,1213.0,22.1,0.411
FR_inc.xlsx,FR,gen0,D11,47,1213.0,22.1,0.606
FR_inc.xlsx,FR,gen0,D12,48,1213.0,22.1,0.486
FR_inc.xlsx,FR,gen0,E1,49,1213.0,22.1,0.409
FR_inc.xlsx,FR,gen0,E2,50,1213.0,22.1,0.555
FR_inc.xlsx,FR,gen0,E3,51,1213.0,22.1,0.64
FR_inc.xlsx,FR,gen0,E4,52,1213.0,22.1,0.545
FR_inc.xlsx,FR,gen0,E5,53,1213.0,22.1,0.647
FR_inc.xlsx,FR,gen0,E6,54,1213.0,22.1,0.488
FR_inc.xlsx,FR,gen0,E7,55,1213.0,22.1,0.565
FR_inc.xlsx,FR,gen0,E8,56,1213.0,22.1,0.492
FR_inc.xlsx,FR,gen0,E9,57,1213.0,22.1,0.559
FR_inc.xlsx,FR,gen0,E10,58,1213.0,22.1,0.491
FR_inc.xlsx,FR,gen0,E11,59,1213.0,22.1,0.441
FR_inc.xlsx,FR,gen0,E12,60,1213.0,22.1,0.388
FR_inc.xlsx,FR,gen0,F1,61,1213.0,22.1,0.43
FR_inc.xlsx,FR,gen0,F2,62,1213.0,22.1,0.528
FR_inc.xlsx,FR,gen0,F3,63,1213.0,22.1,0.454
FR_inc.xlsx,FR,gen0,F4,64,1213.0,22.1,0.539
FR_inc.xlsx,FR,gen0,F5,65,1213.0,22.1,0.488
FR_inc.xlsx,FR,gen0,F6,66,1213.0,22.1,0.374
FR_inc.xlsx,FR,gen0,F7,67,1213.0,22.1,0.451
FR_inc.xlsx,FR,gen0,F8,68,1213.0,22.1,0.45
FR_inc.xlsx,FR,gen0,F9,69,1213.0,22.1,0.494
FR_inc.xlsx,FR,gen0,F10,70,1213.0,22.1,0.509
FR_inc.xlsx,FR,gen0,F11,71,1213.0,22.1,0.6
FR_inc.xlsx,FR,gen0,F12,72,1213.0,22.1,0.502
FR_inc.xlsx,FR,gen0,G1,73,1213.0,22.1,0.593
FR_inc.xlsx,FR,gen0,G2,74,1213.0,22.1,0.448
FR_inc.xlsx,FR,gen0,G3,75,1213.0,22.1,0.563
FR_inc.xlsx,FR,gen0,G4,76,1213.0,22.1,0.459
FR_inc.xlsx,FR,gen0,G5,77,1213.0,22.1,0.466
FR_inc.xlsx,FR,gen0,G6,78,1213.0,22.1,0.535
FR_inc.xlsx,FR,gen0,G7,79,1213.0,22.1,0.645
FR_inc.xlsx,FR,gen0,G8,80,1213.0,22.1,0.519
FR_inc.xlsx,FR,gen0,G9,81,1213.0,22.1,0.332
FR_inc.xlsx,FR,gen0,G10,82,1213.0,22.1,0.473
FR_inc.xlsx,FR,gen0,G11,83,1213.0,22.1,0.438
FR_inc.xlsx,FR,gen0,G12,84,1213.0,22.1,0.479
FR_inc.xlsx,FR,gen0,H1,85,1213.0,22.1,0.437
FR_inc.xlsx,FR,gen0,H2,86,1213.0,22.1,0.519
FR_inc.xlsx,FR,gen0,H3,87,1213.0,22.1,0.413
FR_inc.xlsx,FR,gen0,H4,88,1213.0,22.1,0.554
FR_inc.xlsx,FR,gen0,H5,89,1213.0,22.1,0.533
FR_inc.xlsx,FR,gen0,H6,90,1213.0,22.1,0.475
FR_inc.xlsx,FR,gen0,H7,91,1213.0,22.1,0.558
FR_inc.xlsx,FR,gen0,H8,92,1213.0,22.1,0.612
FR_inc.xlsx,FR,gen0,H9,93,1213.0,22.1,0.452
FR_inc.xlsx,FR,gen0,H10,94,1213.0,22.1,0.605
FR_inc.xlsx,FR,gen0,H11,95,1213.0,22.1,0.642
FR_inc.xlsx,FR,gen0,H12,96,1213.0,22.1,0.41
FR_inc.xlsx,FR,gen0,A1,1,1813.0,22.2,0.455
FR_inc.xlsx,FR,gen0,A2,2,1813.0,22.2,0.47
FR_inc.xlsx,FR,gen0,A3,3,1813.0,22.2,0.348
FR_inc.xlsx,FR,gen0,A4,4,1813.0,22.2,0.647
FR_inc.xlsx,FR,gen0,A5,5,1813.0,22.2,0.408
FR_inc.xlsx,FR,gen0,A6,6,1813.0,22.2,0.468
FR_inc.xlsx,FR,gen0,A7,7,1813.0,22.2,0.454
FR_inc.xlsx,FR,gen0,A8,8,1813.0,22.2,0.428
FR_inc.xlsx,FR,gen0,A9,9,1813.0,22.2,0.412
FR_inc.xlsx,FR,gen0,A10,10,1813.0,22.2,0.456
FR_inc.xlsx,FR,gen0,A11,11,1813.0,22.2,0.514
FR_inc.xlsx,FR,gen0,A12,12,1813.0,22.2,0.325
FR_inc.xlsx,FR,gen0,B1,13,1813.0,22.2,0.546
FR_inc.xlsx,FR,gen0,B2,14,1813.0,22.2,0.385
FR_inc.xlsx,FR,gen0,B3,15,1813.0,22.2,0.528
