scenario,temperature_k,pressure_mpa,species,mole_fraction,source_file
vacuum,1900.0,1e-10,NaOH(g),1.08e-12,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,KH(g),1.71e-13,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,CO2(g),8.89e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,N2(g),0.00093,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,Fe(g),0.083,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,H(g),0.234,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,SO2(g),2.66e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,Ni(g),0.00491,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,SiO(g),0.101,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,Na(g),0.00162,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,OH(g),0.000194,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,O(g),0.392,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,SO(g),0.00119,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,S2(g),1.33e-07,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,KCl(g),1.39e-10,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,HF(g),3.05e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,NaCl(g),3.54e-10,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,Co(g),0.000224,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,K(g),0.000178,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,CrO2(g),1.45e-07,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,FeO(g),6.46e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,Mg(g),0.104,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,Mn(g),0.000591,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,PO2(g),1.08e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,PO(g),0.000636,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,Zn(g),5.54e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,ZnS(g),6.98e-15,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,ZnOH(g),1.89e-17,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,ZnO(g),3.97e-12,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,H2(g),0.00019,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,C(g),3.23e-16,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,N(g),8.4e-08,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,CH4(g),8.47e-33,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,H2O(g),4.53e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,CO(g),0.037,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,O2(g),0.00403,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,H2S(g),2.76e-12,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,NaOH(g),4.04e-12,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,KH(g),2.39e-13,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,CO2(g),0.000219,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,N2(g),0.000932,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,Fe(g),0.0835,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,H(g),0.235,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,SO2(g),0.000153,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,Ni(g),0.00493,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,SiO(g),0.102,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,Na(g),0.00163,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,OH(g),0.000411,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,O(g),0.387,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,SO(g),0.00268,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,S2(g),2.37e-07,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,KCl(g),2.95e-10,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,HF(g),2.68e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,NaCl(g),7.29e-10,Murchison-vacc-Zn-GAS.csv
