time,eccentricity,obliquity,precession
-21436.000,0.8370865536547348E-02,0.3968313976117358E+00,0.1757602892120120E+01
-21437.000,0.9081882767543546E-02,0.3987175263385391E+00,0.1464205150428185E+01
-21438.000,0.9689168436660230E-02,0.4007860320350210E+00,0.1165440268299038E+01
-21439.000,0.1037475474112567E-01,0.4029939725273908E+00,0.8646704124552524E+00
-21440.000,0.1097694734072674E-01,0.4052964710435391E+00,0.5681659235658962E+00
-21441.000,0.1155735945706361E-01,0.4076472585819718E+00,0.2712906505590702E+00
-21442.000,0.1219408071028244E-01,0.4099917627660025E+00,0.6257346265365559E+01
-21443.000,0.1273106382452690E-01,0.4122833582763555E+00,0.5962394891626452E+01
-21444.000,0.1324904280246480E-01,0.4144668921769517E+00,0.5664067531287117E+01
-21445.000,0.1379307244093199E-01,0.4164919904848695E+00,0.5374451808923277E+01
-21446.000,0.1425715914306218E-01,0.4183111843204770E+00,0.5075587783453944E+01
-21447.000,0.1469715524157162E-01,0.4198773600205965E+00,0.4781521399239022E+01
-21448.000,0.1512063189975502E-01,0.4211498483084802E+00,0.4490264539440510E+01
-21449.000,0.1550680649916594E-01,0.4220958213667791E+00,0.4192139755599350E+01
-21450.000,0.1588412506229815E-01,0.4226858953721177E+00,0.3897722572989944E+01
-21451.000,0.1615789652366599E-01,0.4228970012797022E+00,0.3602925594696738E+01
-21452.000,0.1651742941635152E-01,0.4227214200729494E+00,0.3306325596234080E+01
-21453.000,0.1678031311525514E-01,0.4221495794446506E+00,0.3008602081158470E+01
-21454.000,0.1697871918646913E-01,0.4211841117942807E+00,0.2711679661047099E+01
-21455.000,0.1726318771553834E-01,0.4198386614879875E+00,0.2413311736880144E+01
-21456.000,0.1740529701723617E-01,0.4181304136780105E+00,0.2114602830221378E+01
-21457.000,0.1758365879772001E-01,0.4160842300359826E+00,0.1812788658840583E+01
-21458.000,0.1768699776074573E-01,0.4137426032018461E+00,0.1513537881991203E+01
-21459.000,0.1778073663288990E-01,0.4111474240180730E+00,0.1212052609040358E+01
-21460.000,0.1784341755537692E-01,0.4083544833391095E+00,0.9050307855081394E+00
-21461.000,0.1781696386337386E-01,0.4054310695114434E+00,0.6041422977356863E+00
-21462.000,0.1779870883666780E-01,0.4024456582029908E+00,0.2959841140241695E+00
-21463.000,0.1775517467801329E-01,0.3994739687064292E+00,0.6271701958960499E+01
-21464.000,0.1757519729600947E-01,0.3966042367857630E+00,0.5962064991346702E+01
-21465.000,0.1744066310399679E-01,0.3939100066996536E+00,0.5651699514484099E+01
-21466.000,0.1725168258608835E-01,0.3914748401886602E+00,0.5338988581232160E+01
