source_file,condition,generation,well,well_index,n,initial,maximum,final,linear_slope_per_hour,peak_gain,post_peak_loss
FR_inc.xlsx,FR,gen0,G12,84,103,0.437,0.479,0.185,-0.015886570311470387,0.04199999999999998,0.294
FR_inc.xlsx,FR,gen0,G2,74,103,0.457,0.459,0.155,-0.015364736634011352,0.0020000000000000018,0.30400000000000005
FR_inc.xlsx,FR,gen0,G3,75,103,0.565,0.566,0.219,-0.018730922989061205,0.0010000000000000009,0.347
FR_inc.xlsx,FR,gen0,G4,76,103,0.455,0.463,0.125,-0.014359750472257632,0.008000000000000007,0.338
FR_inc.xlsx,FR,gen0,G5,77,103,0.454,0.49,0.195,-0.014209902034002563,0.035999999999999976,0.295
FR_inc.xlsx,FR,gen0,G6,78,103,0.575,0.575,0.106,-0.021245925405262954,0.0,0.469
FR_inc.xlsx,FR,gen0,G7,79,103,0.616,0.645,0.17,-0.0226445767253877,0.029000000000000026,0.475
FR_inc.xlsx,FR,gen0,G8,80,103,0.526,0.538,0.163,-0.018015551552958767,0.01200000000000001,0.375
FR_inc.xlsx,FR,gen0,G9,81,103,0.354,0.354,0.114,-0.010717787637833334,0.0,0.24
FR_inc.xlsx,FR,gen0,H1,85,103,0.425,0.437,0.129,-0.009651056539120505,0.01200000000000001,0.308
FR_inc.xlsx,FR,gen0,H10,94,103,0.618,0.618,0.144,-0.02310789439001889,0.0,0.474
FR_inc.xlsx,FR,gen0,H11,95,103,0.645,0.649,0.181,-0.02303152044985286,0.0040000000000000036,0.468
FR_inc.xlsx,FR,gen0,H12,96,103,0.414,0.414,0.1,-0.01608742257171728,0.0,0.31399999999999995
FR_inc.xlsx,FR,gen0,H2,86,103,0.539,0.539,0.142,-0.01760429205289287,0.0,0.397
FR_inc.xlsx,FR,gen0,H3,87,103,0.429,0.429,0.101,-0.01523340508720292,0.0,0.32799999999999996
FR_inc.xlsx,FR,gen0,H4,88,103,0.555,0.556,0.149,-0.01703758291965032,0.0010000000000000009,0.40700000000000003
FR_inc.xlsx,FR,gen0,H5,89,103,0.526,0.542,0.137,-0.017077713833853193,0.016000000000000014,0.405
FR_inc.xlsx,FR,gen0,H6,90,103,0.526,0.531,0.159,-0.017002723718314825,0.0050000000000000044,0.372
FR_inc.xlsx,FR,gen0,H7,91,103,0.549,0.558,0.151,-0.018201972499231223,0.009000000000000008,0.40700000000000003
FR_inc.xlsx,FR,gen0,H8,92,103,0.604,0.612,0.159,-0.02158542371392174,0.008000000000000007,0.45299999999999996
FR_inc.xlsx,FR,gen0,H9,93,103,0.425,0.452,0.111,-0.01812652110881695,0.027000000000000024,0.341
FR_inc.xlsx,FR,gen1,A1,1,103,0.714,0.786,0.408,-0.015237029389799199,0.07200000000000006,0.37800000000000006
FR_inc.xlsx,FR,gen1,A10,10,103,0.931,1.039,0.514,-0.017298993981461116,0.10799999999999987,0.5249999999999999
FR_inc.xlsx,FR,gen1,A11,11,103,0.907,1.009,0.699,-0.009210275446997302,0.10199999999999987,0.30999999999999994
FR_inc.xlsx,FR,gen1,A12,12,103,0.916,1.042,0.761,-0.004263695470719978,0.126,0.281
FR_inc.xlsx,FR,gen1,A2,2,103,0.741,0.953,0.564,-0.011830316742081402,0.21199999999999997,0.389
FR_inc.xlsx,FR,gen1,A3,3,103,0.764,0.764,0.407,-0.01774610112902513,0.0,0.35700000000000004
FR_inc.xlsx,FR,gen1,A4,4,103,0.759,0.895,0.479,-0.014649892369195608,0.136,0.41600000000000004
FR_inc.xlsx,FR,gen1,A5,5,103,0.779,0.963,0.535,-0.0140038439572991,0.18399999999999994,0.42799999999999994
FR_inc.xlsx,FR,gen1,A6,6,103,0.9,1.053,0.567,-0.015497913280323282,0.1529999999999999,0.486
FR_inc.xlsx,FR,gen1,A7,7,103,0.87,0.935,0.457,-0.016842661336379215,0.06500000000000006,0.47800000000000004
FR_inc.xlsx,FR,gen1,A8,8,103,0.771,0.96,0.53,-0.014251878047708937,0.18899999999999995,0.42999999999999994
FR_inc.xlsx,FR,gen1,A9,9,103,0.669,0.938,0.462,-0.017103281641259918,0.2689999999999999,0.4759999999999999
FR_inc.xlsx,FR,gen1,B1,13,103,0.742,0.78,0.455,-0.013778016957343032,0.038000000000000034,0.325
FR_inc.xlsx,FR,gen1,B10,22,103,0.806,1.0,0.528,-0.014872424548609577,0.19399999999999995,0.472
FR_inc.xlsx,FR,gen1,B11,23,103,0.747,0.904,0.371,-0.033988512059043165,0.15700000000000003,0.533
FR_inc.xlsx,FR,gen1,B12,24,103,0.887,0.982,0.561,-0.014944581118481706,0.09499999999999997,0.42099999999999993
FR_inc.xlsx,FR,gen1,B2,14,103,0.705,0.95,0.492,-0.01563491191846415,0.245,0.45799999999999996
FR_inc.xlsx,FR,gen1,B3,15,103,0.69,0.906,0.474,-0.012883275490928237,0.21600000000000008,0.43200000000000005
FR_inc.xlsx,FR,gen1,B4,16,103,0.737,1.0,0.618,-0.008812854193208233,0.263,0.382
FR_inc.xlsx,FR,gen1,B5,17,103,0.776,0.875,0.465,-0.014612463207837226,0.09899999999999998,0.41
FR_inc.xlsx,FR,gen1,B6,18,103,0.826,0.91,0.409,-0.01823432763695467,0.08400000000000007,0.5010000000000001
FR_inc.xlsx,FR,gen1,B7,19,103,0.512,0.801,0.431,-0.015324473926986751,0.28900000000000003,0.37000000000000005
FR_inc.xlsx,FR,gen1,B8,20,103,0.791,0.853,0.432,-0.01672800158151385,0.061999999999999944,0.421
FR_inc.xlsx,FR,gen1,B9,21,103,0.582,1.003,0.625,-0.006002965338487868,0.42099999999999993,0.3779999999999999
FR_inc.xlsx,FR,gen1,C1,25,103,0.746,0.944,0.451,-0.01774017045204933,0.19799999999999995,0.49299999999999994
FR_inc.xlsx,FR,gen1,C10,34,103,0.709,0.871,0.371,-0.03267124280630844,0.16200000000000003,0.5
FR_inc.xlsx,FR,gen1,C11,35,103,0.519,0.808,0.405,-0.027138052980714308,0.28900000000000003,0.403
FR_inc.xlsx,FR,gen1,C12,36,103,0.855,1.068,0.584,-0.01587536792162718,0.21300000000000008,0.4840000000000001
FR_inc.xlsx,FR,gen1,C2,26,103,0.67,0.781,0.363,-0.015486908579712653,0.11099999999999999,0.41800000000000004
FR_inc.xlsx,FR,gen1,C3,27,103,0.545,0.72,0.358,-0.006944954531476489,0.17499999999999993,0.362
FR_inc.xlsx,FR,gen1,C4,28,103,0.734,0.944,0.678,-0.005442318675042811,0.20999999999999996,0.2659999999999999
FR_inc.xlsx,FR,gen1,C5,29,103,0.818,0.998,0.468,-0.021744431753283815,0.18000000000000005,0.53
FR_inc.xlsx,FR,gen1,C6,30,103,0.642,0.642,0.256,-0.018719984184861378,0.0,0.386
FR_inc.xlsx,FR,gen1,C7,31,103,0.827,0.998,0.499,-0.015986601063128717,0.17100000000000004,0.499
FR_inc.xlsx,FR,gen1,C8,32,103,0.658,0.862,0.535,-0.009585094231867451,0.20399999999999996,0.32699999999999996
FR_inc.xlsx,FR,gen1,C9,33,103,0.869,0.962,0.61,-0.008529829108641184,0.09299999999999997,0.352
FR_inc.xlsx,FR,gen1,D1,37,103,0.849,0.989,0.464,-0.02156348020911125,0.14,0.5249999999999999
FR_inc.xlsx,FR,gen1,D10,46,103,0.804,0.869,0.337,-0.03080485876202608,0.06499999999999995,0.532
FR_inc.xlsx,FR,gen1,D11,47,103,0.841,0.887,0.537,-0.011652198743575053,0.04600000000000004,0.35
FR_inc.xlsx,FR,gen1,D12,48,103,0.761,0.917,0.443,-0.01647990159469311,0.15600000000000003,0.47400000000000003
FR_inc.xlsx,FR,gen1,D2,38,103,0.767,0.904,0.459,-0.014854171242806278,0.137,0.445
FR_inc.xlsx,FR,gen1,D3,39,103,0.775,1.11,0.5,-0.03299084039889293,0.3350000000000001,0.6100000000000001
FR_inc.xlsx,FR,gen1,D4,40,103,0.911,1.152,0.781,-0.009190572420155469,0.24099999999999988,0.3709999999999999
FR_inc.xlsx,FR,gen1,D5,41,103,0.818,0.989,0.705,-0.0070808329306329895,0.17100000000000004,0.28400000000000003
FR_inc.xlsx,FR,gen1,D6,42,103,0.771,0.885,0.405,-0.02652099898958832,0.11399999999999999,0.48
FR_inc.xlsx,FR,gen1,D7,43,103,0.815,0.941,0.486,-0.014566533409480248,0.126,0.45499999999999996
FR_inc.xlsx,FR,gen1,D8,44,103,0.901,1.017,0.556,-0.01672174142248379,0.11599999999999988,0.46099999999999985
FR_inc.xlsx,FR,gen1,D9,45,103,0.773,0.925,0.443,-0.01797495936387996,0.15200000000000002,0.48200000000000004
FR_inc.xlsx,FR,gen1,E1,49,103,0.488,0.747,0.365,-0.02528550718270874,0.259,0.382
