panel,group,row_label,replicate_index,value,source_file
Turbidity,before resuspending,0.161,82,0.102,Fig3-data.xlsx
Turbidity,before resuspending,0.161,83,0.088,Fig3-data.xlsx
Turbidity,before resuspending,0.161,84,0.072,Fig3-data.xlsx
Turbidity,before resuspending,0.161,85,0.095,Fig3-data.xlsx
Turbidity,before resuspending,0.161,86,0.096,Fig3-data.xlsx
Turbidity,before resuspending,0.161,87,0.085,Fig3-data.xlsx
Turbidity,before resuspending,0.161,88,0.091,Fig3-data.xlsx
Turbidity,before resuspending,0.161,89,0.079,Fig3-data.xlsx
Turbidity,before resuspending,0.161,90,0.055,Fig3-data.xlsx
Turbidity,before resuspending,0.161,91,0.102,Fig3-data.xlsx
Turbidity,before resuspending,0.161,92,0.092,Fig3-data.xlsx
Turbidity,before resuspending,0.161,93,0.077,Fig3-data.xlsx
Turbidity,before resuspending,0.161,94,0.087,Fig3-data.xlsx
Turbidity,before resuspending,0.161,95,0.07,Fig3-data.xlsx
Turbidity,after resuspending,0.161,96,0.979,Fig3-data.xlsx
Turbidity,after resuspending,0.161,97,1.046,Fig3-data.xlsx
Turbidity,after resuspending,0.161,98,0.991,Fig3-data.xlsx
Turbidity,after resuspending,0.161,99,1.036,Fig3-data.xlsx
Turbidity,after resuspending,0.161,100,0.895,Fig3-data.xlsx
Turbidity,after resuspending,0.161,101,0.915,Fig3-data.xlsx
Turbidity,after resuspending,0.161,102,1.056,Fig3-data.xlsx
Turbidity,after resuspending,0.161,103,1.024,Fig3-data.xlsx
Turbidity,after resuspending,0.161,104,1.524,Fig3-data.xlsx
Turbidity,after resuspending,0.161,105,0.847,Fig3-data.xlsx
Turbidity,after resuspending,0.161,106,0.839,Fig3-data.xlsx
Turbidity,after resuspending,0.161,107,0.962,Fig3-data.xlsx
Turbidity,after resuspending,0.161,108,0.858,Fig3-data.xlsx
Turbidity,after resuspending,0.161,109,0.936,Fig3-data.xlsx
Turbidity,after resuspending,0.161,110,1.087,Fig3-data.xlsx
Turbidity,after resuspending,0.161,111,1.019,Fig3-data.xlsx
Turbidity,after resuspending,0.161,112,0.872,Fig3-data.xlsx
Turbidity,after resuspending,0.161,113,1.076,Fig3-data.xlsx
Turbidity,after resuspending,0.161,114,0.876,Fig3-data.xlsx
Turbidity,after resuspending,0.161,115,1.345,Fig3-data.xlsx
Turbidity,after resuspending,0.161,116,0.97,Fig3-data.xlsx
Turbidity,after resuspending,0.161,117,1.203,Fig3-data.xlsx
Turbidity,after resuspending,0.161,118,0.86,Fig3-data.xlsx
Turbidity,after resuspending,0.161,119,1.113,Fig3-data.xlsx
Turbidity,after resuspending,0.161,120,1.367,Fig3-data.xlsx
Turbidity,after resuspending,0.161,121,1.555,Fig3-data.xlsx
Turbidity,after resuspending,0.161,122,1.196,Fig3-data.xlsx
Turbidity,after resuspending,0.161,123,1.071,Fig3-data.xlsx
Turbidity,after resuspending,0.161,124,0.888,Fig3-data.xlsx
Turbidity,after resuspending,0.161,125,0.934,Fig3-data.xlsx
Turbidity,after resuspending,0.161,126,0.746,Fig3-data.xlsx
Turbidity,after resuspending,0.161,127,0.969,Fig3-data.xlsx
Turbidity,after resuspending,0.161,128,0.91,Fig3-data.xlsx
Turbidity,after resuspending,0.161,129,0.65,Fig3-data.xlsx
Turbidity,after resuspending,0.161,130,0.907,Fig3-data.xlsx
Turbidity,after resuspending,0.161,131,0.755,Fig3-data.xlsx
Turbidity,after resuspending,0.161,132,0.964,Fig3-data.xlsx
Turbidity,after resuspending,0.161,133,1.007,Fig3-data.xlsx
Turbidity,after resuspending,0.161,134,1.002,Fig3-data.xlsx
Turbidity,after resuspending,0.161,135,0.682,Fig3-data.xlsx
Turbidity,after resuspending,0.161,136,0.982,Fig3-data.xlsx
Turbidity,after resuspending,0.161,137,0.906,Fig3-data.xlsx
Turbidity,after resuspending,0.161,138,0.83,Fig3-data.xlsx
Turbidity,after resuspending,0.161,139,1.394,Fig3-data.xlsx
Turbidity,after resuspending,0.161,140,1.33,Fig3-data.xlsx
Turbidity,after resuspending,0.161,141,1.249,Fig3-data.xlsx
Turbidity,after resuspending,0.161,142,0.788,Fig3-data.xlsx
Turbidity,after resuspending,0.161,143,0.747,Fig3-data.xlsx
Turbidity,after resuspending,0.161,144,0.848,Fig3-data.xlsx
Turbidity,after resuspending,0.161,145,0.851,Fig3-data.xlsx
Turbidity,after resuspending,0.161,146,0.762,Fig3-data.xlsx
Turbidity,after resuspending,0.161,147,1.012,Fig3-data.xlsx
Turbidity,after resuspending,0.161,148,0.851,Fig3-data.xlsx
Turbidity,after resuspending,0.161,149,0.563,Fig3-data.xlsx
Turbidity,after resuspending,0.161,150,0.933,Fig3-data.xlsx
Turbidity,after resuspending,0.161,151,1.028,Fig3-data.xlsx
Turbidity,after resuspending,0.161,152,0.884,Fig3-data.xlsx
Turbidity,after resuspending,0.161,153,0.6,Fig3-data.xlsx
Turbidity,after resuspending,0.161,154,0.836,Fig3-data.xlsx
Turbidity,after resuspending,0.161,155,0.969,Fig3-data.xlsx
