panel,group,row_label,replicate_index,value,source_file
Nile Red,before resuspension,152.0,3,62.0,Fig3-data.xlsx
Nile Red,before resuspension,152.0,4,108.0,Fig3-data.xlsx
Nile Red,before resuspension,152.0,5,47.0,Fig3-data.xlsx
Nile Red,before resuspension,152.0,6,91.0,Fig3-data.xlsx
Nile Red,before resuspension,152.0,7,104.0,Fig3-data.xlsx
Nile Red,after resuspension,152.0,8,233.0,Fig3-data.xlsx
Nile Red,after resuspension,152.0,9,242.0,Fig3-data.xlsx
Nile Red,after resuspension,152.0,10,293.0,Fig3-data.xlsx
Nile Red,after resuspension,152.0,11,300.0,Fig3-data.xlsx
Nile Red,after resuspension,152.0,12,281.0,Fig3-data.xlsx
Nile Red,after resuspension,152.0,13,271.0,Fig3-data.xlsx
Nile Red,after resuspension,152.0,14,280.0,Fig3-data.xlsx
Nile Red,after resuspension,152.0,15,280.0,Fig3-data.xlsx
Calcein,G0 w/ Triton,,1,12533.0,Fig3-data.xlsx
Calcein,G0 w/ Triton,,2,11763.0,Fig3-data.xlsx
Calcein,G0 w/ Triton,,3,10974.0,Fig3-data.xlsx
Calcein,G0 w/ Triton,,4,10705.0,Fig3-data.xlsx
Calcein,G0 w/ Triton,,5,11046.0,Fig3-data.xlsx
Calcein,G0 w/ Triton,,6,11028.0,Fig3-data.xlsx
Calcein,G0 w/ Triton,,7,10574.0,Fig3-data.xlsx
Calcein,G0 w/ Triton,,8,10494.0,Fig3-data.xlsx
Calcein,G0 w/ Triton,,9,9346.0,Fig3-data.xlsx
Calcein,G0 w/ Triton,,10,9769.0,Fig3-data.xlsx
Calcein,G0 unresuspended,,11,8911.0,Fig3-data.xlsx
Calcein,G0 unresuspended,,12,8737.0,Fig3-data.xlsx
Calcein,G0 unresuspended,,13,8651.0,Fig3-data.xlsx
Calcein,G0 unresuspended,,14,9106.0,Fig3-data.xlsx
Calcein,G0 unresuspended,,15,8727.0,Fig3-data.xlsx
Calcein,G0 unresuspended,,16,8661.0,Fig3-data.xlsx
Calcein,G0 unresuspended,,17,8648.0,Fig3-data.xlsx
Calcein,G0 unresuspended,,18,7958.0,Fig3-data.xlsx
Calcein,G0 unresuspended,,19,8869.0,Fig3-data.xlsx
Calcein,G0 unresuspended,,20,8628.0,Fig3-data.xlsx
Calcein,G0 resuspended,,21,10546.0,Fig3-data.xlsx
Calcein,G0 resuspended,,22,9439.0,Fig3-data.xlsx
Calcein,G0 resuspended,,23,9443.0,Fig3-data.xlsx
Calcein,G0 resuspended,,24,9068.0,Fig3-data.xlsx
Calcein,G0 resuspended,,25,9436.0,Fig3-data.xlsx
Calcein,G0 resuspended,,26,8991.0,Fig3-data.xlsx
Calcein,G0 resuspended,,27,9485.0,Fig3-data.xlsx
Calcein,G0 resuspended,,28,9531.0,Fig3-data.xlsx
Calcein,G0 resuspended,,29,9555.0,Fig3-data.xlsx
Calcein,G0 resuspended,,30,9241.0,Fig3-data.xlsx
