sample_id,tracer,final_value,uncertainty,candidate_source,unit,compilation,reference
s_2L [16433],W,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_3L [16433],W,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_4L [16433],W,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_5l [16433],W,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_6l [16433],W,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_8L [16433],W,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_9L [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_10L [16433],W,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_17L [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_18L [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_21L [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_22L [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_25L [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_26L [16433],W,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_27L [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_6P [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_1P [16433],W,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_2P [16433],W,6.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_3P [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_4P [16433],W,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_8F [16433],W,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_19F [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_27F [16433],W,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_SS [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_MOB [16433],W,2.4,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
s_MZ-1 [19488],MO,1.2,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-2 [19488],MO,1.2,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-5 [19488],MO,1.1,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-6 [19488],MO,0.7,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
