branch,round,sequence_id,cluster,frequency,relative_frequency,source_table
52-2,2,Seq5,Seq5,0.00726139,0.0607651055,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,3,Seq5,Seq5,0.00258278,0.0216133411,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,4,Seq5,Seq5,0.00127677,0.0106843268,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,5,Seq5,Seq5,0.00186193,0.0155810902,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,6,Seq5,Seq5,0.00096153,0.0080463206,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,7,Seq5,Seq5,0.00028276,0.0023662055,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,8,Seq5,Seq5,4.148e-05,0.0003471149,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,1,Seq28,Seq2,0.00365221,0.0120871809,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,2,Seq28,Seq2,0.00349089,0.0115532839,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,3,Seq28,Seq2,0.00291715,0.0096544612,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,4,Seq28,Seq2,0.00342934,0.0113495809,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,5,Seq28,Seq2,0.00356701,0.011805207,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,6,Seq28,Seq2,0.00378403,0.0125234461,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,7,Seq28,Seq2,0.00388936,0.0128720413,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,8,Seq28,Seq2,0.00154964,0.005128615,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
