time,variable,value,region
1860.123203,hadcrut5_surface_temperature_anomaly_C,-0.4784112481999996,global
1860.202601,hadcrut5_surface_temperature_anomaly_C,-0.7893187891499998,global
1860.287474,hadcrut5_surface_temperature_anomaly_C,-0.3096169243749999,global
1860.36961,hadcrut5_surface_temperature_anomaly_C,-0.3711141328000003,global
1860.454483,hadcrut5_surface_temperature_anomaly_C,-0.2127542884754999,global
1860.536619,hadcrut5_surface_temperature_anomaly_C,-0.2110176611899999,global
1860.621492,hadcrut5_surface_temperature_anomaly_C,-0.13662574465705,global
1860.706366,hadcrut5_surface_temperature_anomaly_C,-0.1765130093914999,global
1860.788501,hadcrut5_surface_temperature_anomaly_C,-0.3911219681500004,global
1860.873374,hadcrut5_surface_temperature_anomaly_C,-0.6221584713999998,global
1860.95551,hadcrut5_surface_temperature_anomaly_C,-0.7965397496000002,global
1861.03833,hadcrut5_surface_temperature_anomaly_C,-0.9051710370999996,global
1861.123203,hadcrut5_surface_temperature_anomaly_C,-0.6805414584499999,global
1861.199863,hadcrut5_surface_temperature_anomaly_C,-0.4215859688500004,global
1861.284736,hadcrut5_surface_temperature_anomaly_C,-0.3963647202999998,global
1861.366872,hadcrut5_surface_temperature_anomaly_C,-0.69667807275,global
1861.451745,hadcrut5_surface_temperature_anomaly_C,-0.2724491992099998,global
1861.533881,hadcrut5_surface_temperature_anomaly_C,-0.3489705033500002,global
1861.618754,hadcrut5_surface_temperature_anomaly_C,-0.0975959140149499,global
1861.703628,hadcrut5_surface_temperature_anomaly_C,-0.3336997925499997,global
1861.785763,hadcrut5_surface_temperature_anomaly_C,-0.51582086895,global
1861.870637,hadcrut5_surface_temperature_anomaly_C,-0.4876642486999998,global
1861.952772,hadcrut5_surface_temperature_anomaly_C,-0.4078173414,global
1862.03833,hadcrut5_surface_temperature_anomaly_C,-0.8302512148500001,global
1862.123203,hadcrut5_surface_temperature_anomaly_C,-0.79714807075,global
1862.199863,hadcrut5_surface_temperature_anomaly_C,-0.5375936340999997,global
1862.284736,hadcrut5_surface_temperature_anomaly_C,-0.5328268243500002,global
1862.366872,hadcrut5_surface_temperature_anomaly_C,-0.3447934074199998,global
1862.451745,hadcrut5_surface_temperature_anomaly_C,-0.2752046759725,global
1862.533881,hadcrut5_surface_temperature_anomaly_C,-0.3561024401499996,global
1862.618754,hadcrut5_surface_temperature_anomaly_C,-0.5004680278499999,global
1862.703628,hadcrut5_surface_temperature_anomaly_C,-0.3993082043999998,global
1862.785763,hadcrut5_surface_temperature_anomaly_C,-0.5010308498500001,global
1862.870637,hadcrut5_surface_temperature_anomaly_C,-0.6849100332999999,global
1862.952772,hadcrut5_surface_temperature_anomaly_C,-0.8982674500000003,global
1863.03833,hadcrut5_surface_temperature_anomaly_C,-0.0872041406736749,global
1863.123203,hadcrut5_surface_temperature_anomaly_C,-0.2836334826499998,global
1863.199863,hadcrut5_surface_temperature_anomaly_C,-0.4143929175500001,global
1863.284736,hadcrut5_surface_temperature_anomaly_C,-0.33593529405,global
1863.366872,hadcrut5_surface_temperature_anomaly_C,-0.3909495188999998,global
1863.451745,hadcrut5_surface_temperature_anomaly_C,-0.4183558471499998,global
1863.533881,hadcrut5_surface_temperature_anomaly_C,-0.3568627596499999,global
1863.618754,hadcrut5_surface_temperature_anomaly_C,-0.3350458716499997,global
1863.703628,hadcrut5_surface_temperature_anomaly_C,-0.4046052229000001,global
1863.785763,hadcrut5_surface_temperature_anomaly_C,-0.5606117872000005,global
1863.870637,hadcrut5_surface_temperature_anomaly_C,-0.5001166541,global
1863.952772,hadcrut5_surface_temperature_anomaly_C,-0.5064447270500001,global
1864.03833,hadcrut5_surface_temperature_anomaly_C,-0.8248808481500002,global
1864.123203,hadcrut5_surface_temperature_anomaly_C,-0.6053229550999998,global
1864.202601,hadcrut5_surface_temperature_anomaly_C,-0.5314120997500001,global
1864.287474,hadcrut5_surface_temperature_anomaly_C,-0.5567386574000001,global
1864.36961,hadcrut5_surface_temperature_anomaly_C,-0.3460190108499998,global
1864.454483,hadcrut5_surface_temperature_anomaly_C,-0.115944584684,global
1864.536619,hadcrut5_surface_temperature_anomaly_C,-0.287456776885,global
1864.621492,hadcrut5_surface_temperature_anomaly_C,-0.3439262736300001,global
1864.706366,hadcrut5_surface_temperature_anomaly_C,-0.5260323169,global
1864.788501,hadcrut5_surface_temperature_anomaly_C,-0.6723406677,global
1864.873374,hadcrut5_surface_temperature_anomaly_C,-0.4921487758999999,global
1864.95551,hadcrut5_surface_temperature_anomaly_C,-0.6274210724500001,global
1865.03833,hadcrut5_surface_temperature_anomaly_C,-0.2297242089584999,global
1865.123203,hadcrut5_surface_temperature_anomaly_C,-0.5128681458499998,global
1865.199863,hadcrut5_surface_temperature_anomaly_C,-0.71708085085,global
1865.284736,hadcrut5_surface_temperature_anomaly_C,-0.5454239931000001,global
1865.366872,hadcrut5_surface_temperature_anomaly_C,-0.4949278789500001,global
1865.451745,hadcrut5_surface_temperature_anomaly_C,-0.2513207747949998,global
1865.533881,hadcrut5_surface_temperature_anomaly_C,-0.2965114700450001,global
1865.618754,hadcrut5_surface_temperature_anomaly_C,-0.24691207246,global
1865.703628,hadcrut5_surface_temperature_anomaly_C,-0.2325668256900001,global
1865.785763,hadcrut5_surface_temperature_anomaly_C,-0.3286997903000001,global
1865.870637,hadcrut5_surface_temperature_anomaly_C,-0.3379596004499998,global
1865.952772,hadcrut5_surface_temperature_anomaly_C,-0.5129043627000002,global
1866.03833,hadcrut5_surface_temperature_anomaly_C,-0.230414125832,global
1866.123203,hadcrut5_surface_temperature_anomaly_C,-0.4720923439500002,global
1866.199863,hadcrut5_surface_temperature_anomaly_C,-0.7483364813500003,global
1866.284736,hadcrut5_surface_temperature_anomaly_C,-0.5491824842499998,global
1866.366872,hadcrut5_surface_temperature_anomaly_C,-0.5992568235499999,global
1866.451745,hadcrut5_surface_temperature_anomaly_C,-0.1297309254064999,global
1866.533881,hadcrut5_surface_temperature_anomaly_C,-0.0531886064944999,global
1866.618754,hadcrut5_surface_temperature_anomaly_C,-0.291355688975,global
1866.703628,hadcrut5_surface_temperature_anomaly_C,-0.4619109153,global
1866.785763,hadcrut5_surface_temperature_anomaly_C,-0.4597835701999998,global
1866.870637,hadcrut5_surface_temperature_anomaly_C,-0.3633888848499997,global
1866.952772,hadcrut5_surface_temperature_anomaly_C,-0.4433019280500001,global
1867.03833,hadcrut5_surface_temperature_anomaly_C,-0.5012025611499998,global
1867.123203,hadcrut5_surface_temperature_anomaly_C,-0.4076428773,global
1867.199863,hadcrut5_surface_temperature_anomaly_C,-0.7115420924499997,global
1867.284736,hadcrut5_surface_temperature_anomaly_C,-0.48930240415,global
1867.366872,hadcrut5_surface_temperature_anomaly_C,-0.6157675115499999,global
1867.451745,hadcrut5_surface_temperature_anomaly_C,-0.3497441963800001,global
1867.533881,hadcrut5_surface_temperature_anomaly_C,-0.25862965878,global
1867.618754,hadcrut5_surface_temperature_anomaly_C,-0.3253426431499998,global
1867.703628,hadcrut5_surface_temperature_anomaly_C,-0.1938229825259999,global
1867.785763,hadcrut5_surface_temperature_anomaly_C,-0.1567362291419999,global
1867.870637,hadcrut5_surface_temperature_anomaly_C,-0.29075100497,global
1867.952772,hadcrut5_surface_temperature_anomaly_C,-0.4924907094500002,global
1868.03833,hadcrut5_surface_temperature_anomaly_C,-0.7065510637999997,global
1868.123203,hadcrut5_surface_temperature_anomaly_C,-0.7107064907999999,global
1868.202601,hadcrut5_surface_temperature_anomaly_C,-0.3315250147200001,global
1868.287474,hadcrut5_surface_temperature_anomaly_C,-0.3835846974999999,global
1868.36961,hadcrut5_surface_temperature_anomaly_C,-0.2822100464599998,global
1868.454483,hadcrut5_surface_temperature_anomaly_C,-0.2975869584699999,global
1868.536619,hadcrut5_surface_temperature_anomaly_C,-0.0465389990724999,global
1868.621492,hadcrut5_surface_temperature_anomaly_C,-0.1950335845849999,global
1868.706366,hadcrut5_surface_temperature_anomaly_C,-0.3749676628500001,global
1868.788501,hadcrut5_surface_temperature_anomaly_C,-0.2430971285749999,global
1868.873374,hadcrut5_surface_temperature_anomaly_C,-0.4506313397499998,global
1868.95551,hadcrut5_surface_temperature_anomaly_C,-0.3350161633500002,global
1869.03833,hadcrut5_surface_temperature_anomaly_C,-0.30413688312,global
1869.123203,hadcrut5_surface_temperature_anomaly_C,0.1373577432935,global
1869.199863,hadcrut5_surface_temperature_anomaly_C,-0.6508500629499997,global
1869.284736,hadcrut5_surface_temperature_anomaly_C,-0.41162051215,global
1869.366872,hadcrut5_surface_temperature_anomaly_C,-0.3107559170499999,global
1869.451745,hadcrut5_surface_temperature_anomaly_C,-0.3964205274499999,global
1869.533881,hadcrut5_surface_temperature_anomaly_C,-0.4316918080999998,global
1869.618754,hadcrut5_surface_temperature_anomaly_C,-0.1784254160455001,global
1869.703628,hadcrut5_surface_temperature_anomaly_C,-0.1691434297465,global
1869.785763,hadcrut5_surface_temperature_anomaly_C,-0.2908837426,global
1869.870637,hadcrut5_surface_temperature_anomaly_C,-0.29109509185,global
1869.952772,hadcrut5_surface_temperature_anomaly_C,-0.5245999239500001,global
1870.03833,hadcrut5_surface_temperature_anomaly_C,-0.2144275369749998,global
1870.123203,hadcrut5_surface_temperature_anomaly_C,-0.45705271065,global
1870.199863,hadcrut5_surface_temperature_anomaly_C,-0.4953186519499999,global
1870.284736,hadcrut5_surface_temperature_anomaly_C,-0.35708296995,global
1870.366872,hadcrut5_surface_temperature_anomaly_C,-0.3039136453700002,global
1870.451745,hadcrut5_surface_temperature_anomaly_C,-0.2068032441209998,global
1870.533881,hadcrut5_surface_temperature_anomaly_C,-0.0832474944619999,global
1870.618754,hadcrut5_surface_temperature_anomaly_C,-0.2555414695649998,global
1870.703628,hadcrut5_surface_temperature_anomaly_C,-0.2018494169700001,global
1870.785763,hadcrut5_surface_temperature_anomaly_C,-0.42775819855,global
1870.870637,hadcrut5_surface_temperature_anomaly_C,-0.255348499675,global
1870.952772,hadcrut5_surface_temperature_anomaly_C,-0.6750309098000001,global
1871.03833,hadcrut5_surface_temperature_anomaly_C,-0.5914527409500003,global
1871.123203,hadcrut5_surface_temperature_anomaly_C,-0.6883919553999996,global
1871.199863,hadcrut5_surface_temperature_anomaly_C,-0.1713521014734999,global
1871.284736,hadcrut5_surface_temperature_anomaly_C,-0.222446396975,global
1871.366872,hadcrut5_surface_temperature_anomaly_C,-0.3483847000499997,global
1871.451745,hadcrut5_surface_temperature_anomaly_C,-0.26983123516,global
1871.533881,hadcrut5_surface_temperature_anomaly_C,-0.072705584152,global
1871.618754,hadcrut5_surface_temperature_anomaly_C,-0.3237074085500002,global
1871.703628,hadcrut5_surface_temperature_anomaly_C,-0.357058746,global
1871.785763,hadcrut5_surface_temperature_anomaly_C,-0.3733813941499997,global
1871.870637,hadcrut5_surface_temperature_anomaly_C,-0.5423127757999997,global
1871.952772,hadcrut5_surface_temperature_anomaly_C,-0.5200536109000002,global
1872.03833,hadcrut5_surface_temperature_anomaly_C,-0.5938672505499998,global
1872.123203,hadcrut5_surface_temperature_anomaly_C,-0.6273827312000001,global
1872.202601,hadcrut5_surface_temperature_anomaly_C,-0.5185339314500004,global
1872.287474,hadcrut5_surface_temperature_anomaly_C,-0.3662170805999999,global
1872.36961,hadcrut5_surface_temperature_anomaly_C,-0.1212908144095,global
1872.454483,hadcrut5_surface_temperature_anomaly_C,-0.2668780341565001,global
1872.536619,hadcrut5_surface_temperature_anomaly_C,-0.1094671266199999,global
1872.621492,hadcrut5_surface_temperature_anomaly_C,0.032685994794,global
1872.706366,hadcrut5_surface_temperature_anomaly_C,-0.1552767076409999,global
1872.788501,hadcrut5_surface_temperature_anomaly_C,-0.1743954993985001,global
