experiment_id,element,pressure_gpa,temperature_k,delta_iw,logD,uncertainty,D_original,pressure_min_gpa,pressure_max_gpa,temperature_min_k,temperature_max_k,oxygen_fugacity_original,condition_original,source_id,value_type,source_status,nbo_t,h2o,source_file
Fichtner 2021 41:row2,C,1.5,1573.0,-2.23479025,2.8554,0.04365,,,,,,,,Fichtner 2021 41,,,1.02782,,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Fichtner 2021 41:row3,C,1.5,1673.0,-2.14073279,2.70307,0.04736,,,,,,,,Fichtner 2021 41,,,1.39359,,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Fichtner 2021 41:row4,C,1.5,1773.0,-1.807219944,2.53633,0.04948,,,,,,,,Fichtner 2021 41,,,1.71786,,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Fichtner 2021 41:row5,C,1.5,1873.0,-1.709548162,2.05561,0.19127,,,,,,,,Fichtner 2021 41,,,2.19412,,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Fichtner 2021 41:row6,C,1.5,1973.0,-1.81127404,1.39959,0.13031,,,,,,,,Fichtner 2021 41,,,2.55061,,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Fichtner 2021 41:row7,C,1.5,2023.0,-2.302783123,1.43124,0.04538,,,,,,,,Fichtner 2021 41,,,2.76186,,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Fichtner 2021 41:row8,C,1.5,2023.0,-1.762988629,1.29384,0.0905,,,,,,,,Fichtner 2021 41,,,3.05617,,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Kuwahara 2019 61:row2,C,8.0,1973.0,-2.92858,2.69763,0.17448,,,,,,,,Kuwahara 2019 61,,,1.1094,1.64,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Kuwahara 2019 61:row3,C,8.0,2073.0,-2.95802,2.78795,0.11783,,,,,,,,Kuwahara 2019 61,,,1.10363,1.48,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Kuwahara 2019 61:row4,C,8.0,1973.0,-2.91507,3.13686,0.19688,,,,,,,,Kuwahara 2019 61,,,0.57721,0.13,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Kuwahara 2019 61:row6,C,12.0,2273.0,-3.09152,2.66485,0.16286,,,,,,,,Kuwahara 2019 61,,,0.94414,0.1,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Kuwahara 2019 61:row7,C,4.0,2073.0,-2.85111,3.02594,0.18266,,,,,,,,Kuwahara 2019 61,,,0.63065,0.17,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Kuwahara 2019 61:row8,C,4.0,2173.0,-2.92205,3.01287,0.17298,,,,,,,,Kuwahara 2019 61,,,0.66852,0.13,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Kuwahara 2021 81:row2,C,2.0,1923.0,-2.68126,3.33977,0.12093,,,,,,,,Kuwahara 2021 81,,,1.1358,0.25,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Kuwahara 2021 81:row3,C,2.0,1923.0,-1.58255,2.05079,0.21026,,,,,,,,Kuwahara 2021 81,,,0.60245,0.52,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Kuwahara 2021 81:row4,C,2.0,1923.0,-2.47179,3.42208,0.06535,,,,,,,,Kuwahara 2021 81,,,1.05093,0.28,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Kuwahara 2021 81:row6,C,2.0,1923.0,-2.62715,2.56271,0.06112,,,,,,,,Kuwahara 2021 81,,,0.95768,0.14,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Dasugpta 2013 101:row2,C,3.0,2273.0,-2.14496,2.75999,0.04946,,,,,,,,Dasugpta 2013 101,,,3.37731,0.37,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Dasugpta 2013 101:row3,C,3.0,2373.0,-2.17667,2.32677,0.19216,,,,,,,,Dasugpta 2013 101,,,3.6819,0.72,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Dasugpta 2013 101:row4,C,4.0,2273.0,-2.33835,2.26319,0.08198,,,,,,,,Dasugpta 2013 101,,,2.72236,0.65,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Fischer 2020 121:row2,C,37.0,4350.0,-1.450560159,0.646395614,,,,,,,,,Fischer 2020 121,,,4.733912376,0.0,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Fischer 2020 121:row3,C,59.0,4200.0,-1.016341133,0.130550875,,,,,,,,,Fischer 2020 121,,,4.428711657,0.0,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Fischer 2020 121:row4,C,47.0,5200.0,-1.061055362,0.27108906,,,,,,,,,Fischer 2020 121,,,5.708274565,0.0,Dataset_Fig4_FigS1_FigS2_DC_1.csv
