time_years,elapsed_years,baseline,r00,r01,r02,r03,r04,r05,r06,r07,ensemble_mean,ensemble_std,rms_difference_vs_baseline,median_abs_difference_vs_baseline
-808000,808000,0.0142954077590283,0.0142954082830548,0.0142954072016445,0.0142954073974269,0.0142954080566749,0.0142954092233295,0.0142954076827998,0.0142954084960825,0.0142954075391098,0.014295407985015338,6.262657427418159e-10,6.65791950784854e-10,4.4281395043810345e-10
-807000,807000,0.0146153341250628,0.0146153348919058,0.0146153336811269,0.0146153336056492,0.0146153346229006,0.0146153359943081,0.0146153345907078,0.0146153350832459,0.0146153336545275,0.014615334515546474,7.852835320677431e-10,8.770106764543566e-10,5.086256997174909e-10
-806000,806000,0.0149862802255661,0.0149862802030629,0.0149862802020748,0.0149862804094834,0.0149862802809727,0.0149862801905466,0.0149862800959221,0.0149862802572012,0.0149862803752198,0.014986280251810436,9.609534295912221e-11,9.96146585452157e-11,4.5213049450210097e-11
-805000,805000,0.0153356788650952,0.0153356797947352,0.0153356781780711,0.0153356781704919,0.0153356793964771,0.0153356812375791,0.0153356792456768,0.0153356800366933,0.0153356782985646,0.015335679294786138,1.0056788713675236e-09,1.093628956166276e-09,6.908137005143256e-10
-804000,804000,0.0156937960861029,0.0156937963703009,0.0156937960354398,0.0156937958658012,0.0156937963018588,0.0156937967389986,0.0156937964487634,0.015693796378073,0.0156937958555689,0.015693796249350574,2.8753438300734205e-10,3.3064456065137863e-10,2.573660000393385e-10
-803000,803000,0.0161114910875925,0.0161114912179817,0.0161114908756798,0.0161114911634945,0.0161114912526882,0.0161114915228357,0.0161114908963596,0.0161114913500875,0.0161114911871449,0.016111491183283987,2.020186020332897e-10,2.2353607328017593e-10,1.7816429928596555e-10
-802000,802000,0.0164535068605918,0.0164535071303415,0.0164535067748893,0.0164535065720961,0.0164535069666027,0.0164535074816911,0.0164535072083712,0.0164535070833338,0.016453506581714,0.016453506974879965,2.966869782000418e-10,3.179385907127853e-10,2.743137505339943e-10
-801000,801000,0.0167987304760285,0.0167987303491081,0.0167987305594174,0.0167987306729109,0.0167987304692861,0.0167987301868329,0.0167987303725795,0.0167987303368212,0.0167987306405771,0.01679873044844165,1.567534148004617e-10,1.5916239283021257e-10,1.330638481344959e-10
-800000,800000,0.0172532492140764,0.017253249241927,0.0172532491382603,0.0172532491869967,0.0172532492458763,0.0172532493662809,0.0172532491427105,0.0172532492511075,0.0172532492283198,0.017253249225184876,6.811256571870213e-11,6.901246134971792e-11,3.441549996374693e-11
-799000,799000,0.0175521548540404,0.0175521548864059,0.0175521548725953,0.0175521547987231,0.0175521548479621,0.0175521549126717,0.0175521549603569,0.0175521548346956,0.0175521547944905,0.017552154863487636,5.295752526484856e-11,5.379358465006716e-11,4.384140099567002e-11
