obliquity_deg,eccentricity,mode,initial_ice,initial_regolith,initial_memory,final_ice
40.0,0.0,classic,0.0,0.9,1.3,0.004704167759529566
40.0,0.0,classic,0.25,0.1,0.1,0.004704167759529566
40.0,0.0,classic,0.25,0.1,0.7,0.004704167759529566
40.0,0.0,classic,0.25,0.1,1.3,0.004704167759529566
40.0,0.0,classic,0.25,0.5,0.1,0.004704167759529566
40.0,0.0,classic,0.25,0.5,0.7,0.004704167759529566
40.0,0.0,classic,0.25,0.5,1.3,0.004704167759529566
40.0,0.0,classic,0.25,0.9,0.1,0.004704167759529566
40.0,0.0,classic,0.25,0.9,0.7,0.004704167759529566
40.0,0.0,classic,0.25,0.9,1.3,0.004704167759529566
40.0,0.0,classic,0.5,0.1,0.1,0.004704167759529566
40.0,0.0,classic,0.5,0.1,0.7,0.004704167759529566
40.0,0.0,classic,0.5,0.1,1.3,0.004704167759529566
40.0,0.0,classic,0.5,0.5,0.1,0.004704167759529566
40.0,0.0,classic,0.5,0.5,0.7,0.004704167759529566
40.0,0.0,classic,0.5,0.5,1.3,0.004704167759529566
40.0,0.0,classic,0.5,0.9,0.1,0.004704167759529566
40.0,0.0,classic,0.5,0.9,0.7,0.004704167759529566
40.0,0.0,classic,0.5,0.9,1.3,0.004704167759529566
40.0,0.0,classic,0.75,0.1,0.1,0.004704167759529566
40.0,0.0,classic,0.75,0.1,0.7,0.004704167759529566
40.0,0.0,classic,0.75,0.1,1.3,0.004704167759529566
40.0,0.0,classic,0.75,0.5,0.1,0.004704167759529566
40.0,0.0,classic,0.75,0.5,0.7,0.004704167759529566
40.0,0.0,classic,0.75,0.5,1.3,0.004704167759529566
40.0,0.0,classic,0.75,0.9,0.1,0.004704167759529566
40.0,0.0,classic,0.75,0.9,0.7,0.004704167759529566
40.0,0.0,classic,0.75,0.9,1.3,0.004704167759529566
40.0,0.0,classic,1.0,0.1,0.1,0.004704167759529566
40.0,0.0,classic,1.0,0.1,0.7,0.004704167759529566
40.0,0.0,classic,1.0,0.1,1.3,0.004704167759529566
40.0,0.0,classic,1.0,0.5,0.1,0.004704167759529566
40.0,0.0,classic,1.0,0.5,0.7,0.004704167759529566
40.0,0.0,classic,1.0,0.5,1.3,0.004704167759529566
40.0,0.0,classic,1.0,0.9,0.1,0.004704167759529566
40.0,0.0,classic,1.0,0.9,0.7,0.004704167759529566
40.0,0.0,classic,1.0,0.9,1.3,0.004704167759529566
40.0,0.0,M2,0.0,0.1,0.1,0.01087017507098042
40.0,0.0,M2,0.0,0.1,0.7,0.010871784001878246
40.0,0.0,M2,0.0,0.1,1.3,0.8798208544649627
40.0,0.0,M2,0.0,0.5,0.1,0.010833466333484506
40.0,0.0,M2,0.0,0.5,0.7,0.01083446641166561
40.0,0.0,M2,0.0,0.5,1.3,0.010836165169697305
40.0,0.0,M2,0.0,0.9,0.1,0.010798007015416337
40.0,0.0,M2,0.0,0.9,0.7,0.010798525440793226
40.0,0.0,M2,0.0,0.9,1.3,0.010799301666309997
40.0,0.0,M2,0.25,0.1,0.1,0.010870322082701632
40.0,0.0,M2,0.25,0.1,0.7,0.010871965645404918
40.0,0.0,M2,0.25,0.1,1.3,0.8798208544649627
40.0,0.0,M2,0.25,0.5,0.1,0.010833888395752172
40.0,0.0,M2,0.25,0.5,0.7,0.010834907611189664
40.0,0.0,M2,0.25,0.5,1.3,0.010836634363299643
40.0,0.0,M2,0.25,0.9,0.1,0.010798423616975245
40.0,0.0,M2,0.25,0.9,0.7,0.010798948413567445
40.0,0.0,M2,0.25,0.9,1.3,0.010799732406296711
40.0,0.0,M2,0.5,0.1,0.1,0.010870688909778508
40.0,0.0,M2,0.5,0.1,0.7,0.8798208544649627
40.0,0.0,M2,0.5,0.1,1.3,0.8798208544649627
40.0,0.0,M2,0.5,0.5,0.1,0.010834423629213453
40.0,0.0,M2,0.5,0.5,0.7,0.010835501803924024
40.0,0.0,M2,0.5,0.5,1.3,0.010837326378658696
40.0,0.0,M2,0.5,0.9,0.1,0.010798874919687193
40.0,0.0,M2,0.5,0.9,0.7,0.010799411096481724
40.0,0.0,M2,0.5,0.9,1.3,0.010800207859408113
40.0,0.0,M2,0.75,0.1,0.1,0.8798208544649627
40.0,0.0,M2,0.75,0.1,0.7,0.8798208544649627
40.0,0.0,M2,0.75,0.1,1.3,0.8798208544649627
40.0,0.0,M2,0.75,0.5,0.1,0.010835409055970413
40.0,0.0,M2,0.75,0.5,0.7,0.01083688751742789
40.0,0.0,M2,0.75,0.5,1.3,0.8798208544649592
40.0,0.0,M2,0.75,0.9,0.1,0.010799430315020854
40.0,0.0,M2,0.75,0.9,0.7,0.010799995377193969
40.0,0.0,M2,0.75,0.9,1.3,0.010800823705850483
40.0,0.0,M2,1.0,0.1,0.1,0.8798208544649627
40.0,0.0,M2,1.0,0.1,0.7,0.8798208544649627
40.0,0.0,M2,1.0,0.1,1.3,0.8798208544649627
40.0,0.0,M2,1.0,0.5,0.1,0.010837797063282865
40.0,0.0,M2,1.0,0.5,0.7,0.010844704841954688
40.0,0.0,M2,1.0,0.5,1.3,0.8798208544649592
40.0,0.0,M2,1.0,0.9,0.1,0.010800305019355768
40.0,0.0,M2,1.0,0.9,0.7,0.010800978707595377
40.0,0.0,M2,1.0,0.9,1.3,0.010801940514018348
40.0,0.0,M2P_corrige,0.0,0.1,0.1,0.0422945708137895
40.0,0.0,M2P_corrige,0.0,0.1,0.7,0.042294570813792495
40.0,0.0,M2P_corrige,0.0,0.1,1.3,0.8614296585322296
40.0,0.0,M2P_corrige,0.0,0.5,0.1,0.04229457081378806
40.0,0.0,M2P_corrige,0.0,0.5,0.7,0.04229457081379074
40.0,0.0,M2P_corrige,0.0,0.5,1.3,0.04229457081379088
40.0,0.0,M2P_corrige,0.0,0.9,0.1,0.04229457081378817
40.0,0.0,M2P_corrige,0.0,0.9,0.7,0.04229457081379074
40.0,0.0,M2P_corrige,0.0,0.9,1.3,0.04229457081379088
40.0,0.0,M2P_corrige,0.25,0.1,0.1,0.0422945708137895
40.0,0.0,M2P_corrige,0.25,0.1,0.7,0.042294570813792495
40.0,0.0,M2P_corrige,0.25,0.1,1.3,0.8614296585322296
40.0,0.0,M2P_corrige,0.25,0.5,0.1,0.04229457081378806
40.0,0.0,M2P_corrige,0.25,0.5,0.7,0.04229457081379074
40.0,0.0,M2P_corrige,0.25,0.5,1.3,0.04229457081379088
40.0,0.0,M2P_corrige,0.25,0.9,0.1,0.04229457081378817
40.0,0.0,M2P_corrige,0.25,0.9,0.7,0.04229457081379074
40.0,0.0,M2P_corrige,0.25,0.9,1.3,0.04229457081379088
40.0,0.0,M2P_corrige,0.5,0.1,0.1,0.0422945708137895
40.0,0.0,M2P_corrige,0.5,0.1,0.7,0.8614296585322296
40.0,0.0,M2P_corrige,0.5,0.1,1.3,0.8614296585322296
40.0,0.0,M2P_corrige,0.5,0.5,0.1,0.04229457081378806
40.0,0.0,M2P_corrige,0.5,0.5,0.7,0.04229457081379074
40.0,0.0,M2P_corrige,0.5,0.5,1.3,0.04229457081379088
40.0,0.0,M2P_corrige,0.5,0.9,0.1,0.04229457081378817
40.0,0.0,M2P_corrige,0.5,0.9,0.7,0.04229457081379074
40.0,0.0,M2P_corrige,0.5,0.9,1.3,0.04229457081379088
40.0,0.0,M2P_corrige,0.75,0.1,0.1,0.8614296585322005
40.0,0.0,M2P_corrige,0.75,0.1,0.7,0.8614296585322296
40.0,0.0,M2P_corrige,0.75,0.1,1.3,0.8614296585322296
40.0,0.0,M2P_corrige,0.75,0.5,0.1,0.04229457081378806
40.0,0.0,M2P_corrige,0.75,0.5,0.7,0.04229457081379074
40.0,0.0,M2P_corrige,0.75,0.5,1.3,0.8614296585322171
40.0,0.0,M2P_corrige,0.75,0.9,0.1,0.04229457081378817
40.0,0.0,M2P_corrige,0.75,0.9,0.7,0.04229457081379074
40.0,0.0,M2P_corrige,0.75,0.9,1.3,0.04229457081379088
40.0,0.0,M2P_corrige,1.0,0.1,0.1,0.8614296585322005
40.0,0.0,M2P_corrige,1.0,0.1,0.7,0.8614296585322296
40.0,0.0,M2P_corrige,1.0,0.1,1.3,0.8614296585322296
40.0,0.0,M2P_corrige,1.0,0.5,0.1,0.04229457081378806
40.0,0.0,M2P_corrige,1.0,0.5,0.7,0.04229457081379074
40.0,0.0,M2P_corrige,1.0,0.5,1.3,0.8614296585322171
40.0,0.0,M2P_corrige,1.0,0.9,0.1,0.04229457081378817
40.0,0.0,M2P_corrige,1.0,0.9,0.7,0.04229457081379074
40.0,0.0,M2P_corrige,1.0,0.9,1.3,0.04229457081379088
