obliquity_deg,eccentricity,temperature,ice,co2,regolith,memory,direction,mode
30.0,0.14,-0.034973515761948855,0.0019672395470467213,216.70032997135402,0.9897832174542379,0.9323694154044606,reverse,M2
30.0,0.15,0.02333001755158266,0.0011075195811706524,215.2381839038233,0.9942455966577026,0.9349076606699946,reverse,M2
30.0,0.16,0.08500669766740147,0.0006124930635217683,213.7713876394334,0.9968226767069975,0.9370530148848965,reverse,M2
30.0,0.17,0.1506156851177506,0.0003314978279522662,212.28938781299792,0.9982785863528141,0.9388063226143211,reverse,M2
30.0,0.18,0.22055511614848572,0.0001751083597471404,210.79066733696592,0.9990702111500636,0.9401234843010314,reverse,M2
30.0,0.19,0.29513410655545486,9.008747787843265e-05,209.27938122829835,0.9994550563689991,0.9409290356818748,reverse,M2
30.0,0.2,0.37461423946870326,4.506310016508864e-05,207.76344441569395,0.9995390562330205,0.9411236262032004,reverse,M2
30.0,0.0,-3.167969094082047,0.9989224534755966,429.09982849089835,0.13193617914137096,0.2636881808132992,forward,M2P_corrige
30.0,0.01,-3.1647538078399635,0.9985542692235976,428.99675181763246,0.13160456578920554,0.2636134935424441,forward,M2P_corrige
30.0,0.02,-3.157227072170857,0.9980258306872144,428.7062567023564,0.13160440118305256,0.263613452620179,forward,M2P_corrige
30.0,0.03,-3.14504670996144,0.9972564622155045,428.2365524343536,0.13160440110134558,0.2636134525977558,forward,M2P_corrige
30.0,0.04,-3.1277701965062312,0.9961155648403869,427.571210723317,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.05,-3.104671849513957,0.9943883371974016,426.6832770470728,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.06,-3.074521438712166,0.9917091459540687,425.52702567431095,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.07,-3.0351329248802075,0.9874256844459443,424.02121732882154,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.08,-2.982338438111952,0.9802901008351296,422.01125784612975,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.09,-2.9072105404815587,0.9676227705228928,419.1674492298297,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.1,-2.7857181627717766,0.9421982091599016,414.60910731075,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.11,-2.4807283443030164,0.8627424620469325,403.38324193325775,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.12,0.3518657273966164,0.023567466959360166,312.60912747729515,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.13,0.4349816342289725,0.013365443643591012,310.2794008211422,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.14,0.5075888938376524,0.007576323477325169,308.25844281209345,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.15,0.5762231374358873,0.004247728761053954,306.36017407379444,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.16,0.6443884593550675,0.0023412536079230203,304.48644491135906,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.17,0.7141146229957949,0.0012637078955142498,302.58166728825904,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.18,0.7866247750609882,0.000666149327650767,300.61347455758596,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.19,0.8626732586339988,0.00034223766782936034,298.5629917875867,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.2,0.9427356850840228,0.00017107170531481492,296.41939305822314,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
30.0,0.0,-3.167902940421235,0.9989233444824385,429.11836769722004,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.01,-3.1647537719117804,0.9985542698084752,428.99676198655925,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.02,-3.1572270721514193,0.9980258306876061,428.7062567079309,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.03,-3.145046709961448,0.9972564622155069,428.23655243435394,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.04,-3.127770196506247,0.9961155648403893,427.5712107233154,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.05,-3.104671849513973,0.994388337197404,426.6832770470713,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.06,-3.074521438712182,0.9917091459540711,425.52702567430947,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.07,-3.035132924880224,0.9874256844459469,424.02121732882006,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.08,-2.9823384381119697,0.9802901008351325,422.0112578461282,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.09,-2.907210540481539,0.9676227705228895,419.1674492298311,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.1,0.06618631416576544,0.08362486136607379,320.7508852198806,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.11,0.24397969189599603,0.042461937464913606,315.65926589222966,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.12,0.3518657273966065,0.023567466959360645,312.60912747729355,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.13,0.4349816342289616,0.013365443643591315,310.27940082114037,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.14,0.5075888938376423,0.007576323477325333,308.25844281209163,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.15,0.5762231374358769,0.004247728761054054,306.36017407379256,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.16,0.6443884593550568,0.0023412536079230745,304.4864449113571,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.17,0.7141146229957843,0.0012637078955142788,302.5816672882571,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.18,0.7866247750609775,0.0006661493276507822,300.613474557584,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.19,0.8626732586339882,0.0003422376678293681,298.5629917875848,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
30.0,0.2,0.9427356850840228,0.00017107170531481492,296.41939305822314,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
40.0,0.0,-0.06379298758827136,0.004704167759529566,281.6122069961274,0.8,0.4,forward,classic
40.0,0.01,-0.05689701786464301,0.003207108720035772,281.4374821893074,0.8,0.4,forward,classic
40.0,0.02,-0.04761783892581507,0.0021510811307020573,281.20254451609435,0.8,0.4,forward,classic
40.0,0.03,-0.035557661258914006,0.001417894525548222,280.89748836420415,0.8,0.4,forward,classic
40.0,0.04,-0.020409034033451314,0.0009176028995939244,280.5147802904911,0.8,0.4,forward,classic
40.0,0.05,-0.0019349102960308146,0.0005825098364908677,280.048763985265,0.8,0.4,forward,classic
40.0,0.06,0.02004711693425898,0.0003624319631046625,279.4952681190349,0.8,0.4,forward,classic
40.0,0.07,0.04567767621557805,0.0002208388775939222,278.85128535486785,0.8,0.4,forward,classic
40.0,0.08,0.07506621901297192,0.00013167629379644955,278.11470693373644,0.8,0.4,forward,classic
40.0,0.09,0.10829970833009425,7.676785271542265e-05,277.2841047316217,0.8,0.4,forward,classic
40.0,0.1,0.14544962553311727,4.372617912534343e-05,276.35855553933254,0.8,0.4,forward,classic
40.0,0.11,0.1865774965079528,2.431273275006997e-05,275.33750291121544,0.8,0.4,forward,classic
40.0,0.12,0.2317391415808904,1.3185029633278175e-05,274.2206516841833,0.8,0.4,forward,classic
40.0,0.13,0.2809878606486211,6.967714582621643e-06,273.007889957587,0.8,0.4,forward,classic
40.0,0.14,0.33437676273774825,3.5846542033262493e-06,271.69923328828537,0.8,0.4,forward,classic
