time_years,elapsed_years,eccentricity,obliquity_deg,long_peri_moving_rad,insolation_65n_solstice_w_m2,spin_x,spin_y,spin_z
-17356000,17356000,0.0242366344334807,24.95160012719304,2.2692072344454712,540.4970241738849,0.4132591584773489,0.1627196412519575,0.895957134178543
-17357000,17357000,0.0252719030283002,24.863017186876363,2.1528995318851774,541.5179681929245,0.3965182349710704,0.1957691611404004,0.8969100985504684
-17358000,17358000,0.0262177725090625,24.77567330971241,2.036412088374478,542.3297896148822,0.376983737266696,0.22713571327989457,0.8979379876078682
-17359000,17359000,0.027168924261404,24.68988546234856,1.9151501621729015,543.0026347244639,0.35481866588062483,0.25658386547786377,0.8990375044007514
-17360000,17360000,0.0281176178870924,24.60526776703862,1.7945208462804076,543.3836410675812,0.3302057166372903,0.2838936108997111,0.9002047558141297
-17361000,17361000,0.0290212670272655,24.522359446525197,1.673237978220471,543.388174040482,0.3033460337277949,0.30886209585392926,0.9014351832307933
-17362000,17362000,0.0299568625762693,24.4409690470233,1.5477582320046157,543.0367151629393,0.2744573372778386,0.3313052060202653,0.9027236733786416
-17363000,17363000,0.0308447705716688,24.361255817038295,1.4240333302810648,542.1773733260154,0.2437723882472098,0.35105874625446304,0.9040645880723878
-17364000,17364000,0.0316681038618293,24.28331611366352,1.2981831517532714,540.7464888805149,0.21153729571867325,0.36797985544415934,0.9054517096495683
-17365000,17365000,0.0326250378843305,24.207166719746983,1.171601349965182,538.9234944930549,0.17800908367251375,0.3819479920777683,0.9068784358875411
-17366000,17366000,0.0333941702136039,24.13279593807898,1.043746392926569,536.3398205994395,0.14345430399234108,0.39286580552641887,0.9083376693246576
-17367000,17367000,0.0342321399713885,24.060461168847098,0.9161291058954723,533.2836722672806,0.10814672136144578,0.40065988617314774,0.9098219288797618
-17368000,17368000,0.0350902034199277,23.989983559003925,0.7875527473904812,529.6805557107723,0.07236472146920232,0.4052812140871916,0.9113234796682772
-17369000,17369000,0.0358486234790543,23.921473075803394,0.6580787133587139,525.4572423003897,0.03638994546890111,0.4067055521489143,0.9128342487659067
-17370000,17370000,0.0366506071530388,23.854978057368758,0.527796170159095,520.7637226946598,0.000504589596673737,0.40493351978308073,0.9143459902823571
-17371000,17371000,0.0374056604752348,23.790303084405032,0.39963565419957914,515.686362596406,-0.03501067154665455,0.39999052898054516,0.9158503314427069
-17372000,17372000,0.038162032940705,23.727695582793633,0.2673736234082479,510.1092761625253,-0.06987881992959216,0.39192664951717776,0.9173387879750244
-17373000,17373000,0.0388807506033124,23.666869913648874,0.1372035597819942,504.308832846298,-0.10382863513738862,0.380815933829046,0.9188029381033883
-17374000,17374000,0.0395578341544356,23.607952961065383,0.006549132133152174,498.2900256207524,-0.13659663813272813,0.3667559380979691,0.9202344485622754
-17375000,17375000,0.0402623429007016,23.550829155789827,6.157545798071057,492.1090910281554,-0.16792945940323248,0.3498669344893106,0.9216250999270748
-17376000,17376000,0.0409138559841619,23.495586954453554,6.025497432560828,485.93016777564094,-0.19758547993441833,0.330290704071716,0.9229669706565321
-17377000,17377000,0.0415048096377852,23.44206385161018,5.893366467345302,479.8598473953076,-0.22533665059486493,0.30818976520034064,0.9242523803185181
-17378000,17378000,0.042161995166865,23.39050172915997,5.760578458399941,473.94722083612874,-0.25097057353717134,0.28374563554384125,0.925474032876258
-17379000,17379000,0.042720195538973,23.340661945630277,5.627772063984887,468.3698944396257,-0.27429179644184143,0.25715760222126716,0.9266250471601316
-17380000,17380000,0.0432703221889299,23.292751388095194,5.493293799805908,463.14765874070315,-0.29512327110413633,0.2286413008524343,0.9276989869549827
-17381000,17381000,0.0438025528467866,23.246705617885297,5.36086073939976,458.48418368017127,-0.31330798455893405,0.19842664547956212,0.9286899230503941
-17382000,17382000,0.0443377879201734,23.202502733330867,5.226245797971279,454.33028280725404,-0.3287099534831073,0.16675624037171288,0.9295924498285392
