particle_size_um,particle_size_nm
0.41305,413.04999999999995
0.41305,413.04999999999995
0.41305,413.04999999999995
0.41151,411.51
0.41151,411.51
0.41151,411.51
0.40996,409.96
0.40996,409.96
0.40996,409.96
0.40996,409.96
0.40996,409.96
0.40996,409.96
0.40996,409.96
0.40996,409.96
0.4084,408.4
0.4084,408.4
0.40684,406.84
0.40684,406.84
0.40684,406.84
0.40684,406.84
0.40684,406.84
0.40684,406.84
0.40684,406.84
0.4037,403.7
0.4037,403.7
0.4037,403.7
0.4037,403.7
0.4037,403.7
0.4037,403.7
0.4037,403.7
0.4037,403.7
0.40212,402.12
0.40053,400.53
0.40053,400.53
0.40053,400.53
0.40053,400.53
0.40053,400.53
0.40053,400.53
0.40053,400.53
0.40053,400.53
0.40053,400.53
0.40053,400.53
0.39894,398.94
0.39734,397.34000000000003
0.39734,397.34000000000003
0.39734,397.34000000000003
0.39734,397.34000000000003
0.39734,397.34000000000003
0.39734,397.34000000000003
0.39734,397.34000000000003
0.39734,397.34000000000003
0.39734,397.34000000000003
0.39734,397.34000000000003
0.39413,394.13
0.39413,394.13
0.39413,394.13
0.39413,394.13
0.39413,394.13
0.39413,394.13
0.39413,394.13
0.39413,394.13
0.39251,392.51000000000005
0.39088,390.88
0.39088,390.88
0.39088,390.88
0.39088,390.88
0.39088,390.88
0.39088,390.88
0.39088,390.88
0.39088,390.88
0.39088,390.88
0.39088,390.88
0.39088,390.88
0.39088,390.88
0.39088,390.88
0.38761,387.61
0.38761,387.61
0.38761,387.61
0.38761,387.61
0.38761,387.61
0.38761,387.61
0.38761,387.61
0.38761,387.61
0.38761,387.61
0.38431,384.31
0.38431,384.31
0.38431,384.31
0.38431,384.31
0.38431,384.31
0.38431,384.31
0.38431,384.31
0.38431,384.31
0.38431,384.31
0.38431,384.31
0.38265,382.65
0.38098,380.97999999999996
0.38098,380.97999999999996
0.38098,380.97999999999996
0.38098,380.97999999999996
0.38098,380.97999999999996
0.38098,380.97999999999996
0.38098,380.97999999999996
0.38098,380.97999999999996
0.38098,380.97999999999996
0.37931,379.31
0.37931,379.31
0.37931,379.31
0.37931,379.31
0.37931,379.31
0.37763,377.63
0.37763,377.63
0.37763,377.63
0.37763,377.63
0.37763,377.63
0.37763,377.63
0.37763,377.63
0.37763,377.63
0.37763,377.63
0.37763,377.63
0.37763,377.63
0.37763,377.63
0.37594,375.94
0.37594,375.94
0.37424,374.24
0.37424,374.24
0.37424,374.24
0.37424,374.24
0.37424,374.24
0.37424,374.24
0.37424,374.24
0.37424,374.24
0.37424,374.24
0.37424,374.24
0.37424,374.24
0.37424,374.24
0.37254,372.53999999999996
0.37254,372.53999999999996
0.37254,372.53999999999996
0.37254,372.53999999999996
0.3691,369.09999999999997
0.3691,369.09999999999997
0.3691,369.09999999999997
0.3691,369.09999999999997
0.3691,369.09999999999997
0.3691,369.09999999999997
0.3691,369.09999999999997
0.36737,367.36999999999995
0.36737,367.36999999999995
0.36737,367.36999999999995
0.36564,365.64000000000004
0.36564,365.64000000000004
0.36564,365.64000000000004
0.36564,365.64000000000004
0.36564,365.64000000000004
0.36564,365.64000000000004
0.36564,365.64000000000004
0.36564,365.64000000000004
0.36564,365.64000000000004
0.36389,363.89
0.36389,363.89
0.36389,363.89
0.36214,362.14000000000004
0.36214,362.14000000000004
0.36214,362.14000000000004
0.36214,362.14000000000004
0.36214,362.14000000000004
0.36214,362.14000000000004
0.36214,362.14000000000004
0.36214,362.14000000000004
0.36214,362.14000000000004
0.36038,360.38
0.3586,358.59999999999997
0.3586,358.59999999999997
0.3586,358.59999999999997
0.3586,358.59999999999997
0.3586,358.59999999999997
0.3586,358.59999999999997
0.3586,358.59999999999997
0.3586,358.59999999999997
0.3586,358.59999999999997
0.3586,358.59999999999997
0.35682,356.82000000000005
0.35504,355.04
0.35504,355.04
0.35504,355.04
0.35504,355.04
0.35504,355.04
0.35504,355.04
0.35504,355.04
0.35324,353.24
0.35324,353.24
0.35324,353.24
0.35143,351.43
0.35143,351.43
0.35143,351.43
0.35143,351.43
0.35143,351.43
0.35143,351.43
0.34962,349.62
0.34779,347.78999999999996
0.34779,347.78999999999996
0.34779,347.78999999999996
0.34779,347.78999999999996
0.34779,347.78999999999996
0.34779,347.78999999999996
0.34779,347.78999999999996
0.34779,347.78999999999996
0.34779,347.78999999999996
0.34779,347.78999999999996
0.34779,347.78999999999996
0.34595,345.95
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34411,344.11
0.34039,340.39000000000004
0.34039,340.39000000000004
0.34039,340.39000000000004
0.34039,340.39000000000004
0.34039,340.39000000000004
0.34039,340.39000000000004
0.34039,340.39000000000004
0.34039,340.39000000000004
0.34039,340.39000000000004
0.34039,340.39000000000004
0.34039,340.39000000000004
0.34039,340.39000000000004
0.34039,340.39000000000004
0.33851,338.51
0.33851,338.51
0.33663,336.63
0.33663,336.63
0.33663,336.63
0.33663,336.63
0.33663,336.63
0.33663,336.63
0.33663,336.63
0.33663,336.63
0.33663,336.63
0.33663,336.63
0.33663,336.63
0.33663,336.63
