sheet,context,landing_solution,condition,concentration_mM_if_encoded,replicate,elution_fraction,fluorescence
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,7,752114.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,8,532797.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,9,270639.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,10,119382.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,11,49344.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,12,20852.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,13,24965.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,14,43043.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,15,100582.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,16,238780.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,17,469439.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,18,731713.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,19,973168.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,20,1100349.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,21,1063940.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,22,913658.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,23,669682.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,24,453349.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,25,273167.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,26,134408.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,27,66099.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,28,33250.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,29,20126.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,30,13016.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,31,4644.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,32,9634.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,33,3029.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,34,1327.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,35,1982.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,36,2488.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,37,72.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,38,698.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,39,-228.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,40,2700.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,41,2254.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,42,2851.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,43,-1005.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,44,-852.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,45,-795.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0,0.0,c,46,-1391.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,1,10196.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,2,13181.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,3,17824.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,4,23907.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,5,175618.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,6,576589.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,7,803359.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,8,576918.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,9,271931.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,10,106662.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,11,64721.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,12,36235.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,13,30125.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,14,33637.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,15,71634.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,16,143105.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,17,258536.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,18,411025.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,19,562071.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,20,656828.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,21,648529.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,22,559961.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,23,417538.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,24,275840.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,25,159129.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,26,82513.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,27,42295.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,28,21161.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,29,14492.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,30,9546.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,31,5645.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,32,5103.0
